PhysicalX(mm),PhysicalY(mm),1574999500Hz,1574999510Hz,1574999520Hz,1574999530Hz,1574999540Hz,1574999550Hz,1574999560Hz,1574999570Hz,1574999580Hz,1574999590Hz,1574999600Hz,1574999610Hz,1574999620Hz,1574999630Hz,1574999640Hz,1574999650Hz,1574999660Hz,1574999670Hz,1574999680Hz,1574999690Hz,1574999700Hz,1574999710Hz,1574999720Hz,1574999730Hz,1574999740Hz,1574999750Hz,1574999760Hz,1574999770Hz,1574999780Hz,1574999790Hz,1574999800Hz,1574999810Hz,1574999820Hz,1574999830Hz,1574999840Hz,1574999850Hz,1574999860Hz,1574999870Hz,1574999880Hz,1574999890Hz,1574999900Hz,1574999910Hz,1574999920Hz,1574999930Hz,1574999940Hz,1574999950Hz,1574999960Hz,1574999970Hz,1574999980Hz,1574999990Hz,1575000000Hz,1575000010Hz,1575000020Hz,1575000030Hz,1575000040Hz,1575000050Hz,1575000060Hz,1575000070Hz,1575000080Hz,1575000090Hz,1575000100Hz,1575000110Hz,1575000120Hz,1575000130Hz,1575000140Hz,1575000150Hz,1575000160Hz,1575000170Hz,1575000180Hz,1575000190Hz,1575000200Hz,1575000210Hz,1575000220Hz,1575000230Hz,1575000240Hz,1575000250Hz,1575000260Hz,1575000270Hz,1575000280Hz,1575000290Hz,1575000300Hz,1575000310Hz,1575000320Hz,1575000330Hz,1575000340Hz,1575000350Hz,1575000360Hz,1575000370Hz,1575000380Hz,1575000390Hz,1575000400Hz,1575000410Hz,1575000420Hz,1575000430Hz,1575000440Hz,1575000450Hz,1575000460Hz,1575000470Hz,1575000480Hz,1575000490Hz,1575000500Hz
251.271,-93.314,-28.373,-33.458,-31.834,-33.768,-28.960,-35.744,-29.172,-35.781,-37.137,-29.780,-26.822,-40.675,-30.556,-35.581,-27.593,-33.741,-41.182,-34.231,-25.910,-22.267,-23.385,-29.755,-31.089,-25.693,-32.079,-32.063,-38.276,-35.809,-28.237,-29.503,-34.518,-44.418,-31.405,-28.994,-27.683,-38.221,-24.168,-25.198,-28.956,-29.607,-30.726,-37.131,-32.121,-39.991,-29.294,-26.992,-38.441,-39.762,-32.688,-29.207,3.363,18.718,22.143,14.327,-7.697,-33.661,-29.595,-25.824,-23.161,-23.971,-29.858,-26.972,-28.660,-34.742,-34.402,-24.569,-23.641,-24.883,-25.311,-30.181,-43.691,-30.000,-27.099,-30.316,-31.536,-31.749,-29.452,-32.965,-36.979,-33.580,-29.370,-30.882,-36.444,-26.750,-23.052,-25.861,-29.422,-28.857,-25.976,-27.699,-29.675,-42.831,-29.155,-30.213,-36.205,-41.292,-30.544,-34.244,-29.801,-31.205,-30.618
253.304,-93.314,-29.500,-45.538,-31.569,-29.648,-36.356,-31.331,-36.546,-32.249,-27.841,-24.981,-27.205,-31.205,-27.420,-28.827,-25.727,-28.095,-34.583,-34.632,-38.931,-31.591,-28.361,-27.035,-25.988,-30.264,-29.432,-31.055,-42.543,-36.719,-33.789,-31.597,-30.605,-31.204,-36.616,-35.203,-24.642,-25.746,-31.011,-25.768,-30.379,-37.743,-36.188,-32.431,-29.665,-31.279,-25.734,-24.257,-26.088,-30.349,-29.901,-35.320,3.592,19.015,22.439,14.566,-7.971,-21.241,-24.454,-38.787,-32.968,-28.733,-33.118,-33.959,-27.329,-28.876,-30.770,-37.587,-28.288,-40.046,-32.472,-25.879,-23.535,-27.552,-33.862,-29.368,-35.640,-30.815,-44.350,-28.842,-23.636,-25.834,-27.948,-39.548,-31.540,-34.970,-29.557,-28.806,-27.115,-27.275,-26.584,-31.752,-47.472,-33.460,-27.058,-28.509,-27.471,-26.054,-30.473,-27.198,-27.708,-30.572,-38.647
255.337,-93.314,-28.888,-35.094,-27.568,-32.937,-48.453,-38.162,-28.447,-30.181,-34.147,-33.156,-31.561,-36.150,-36.514,-31.051,-24.914,-27.341,-36.816,-40.199,-43.349,-39.282,-35.347,-35.943,-32.544,-30.891,-35.597,-33.836,-31.672,-32.581,-31.233,-25.692,-26.453,-26.829,-29.205,-33.452,-28.069,-32.839,-25.349,-21.653,-25.607,-37.461,-40.003,-32.976,-29.172,-32.099,-29.109,-35.886,-25.713,-28.445,-31.690,-43.340,3.896,19.309,22.752,14.940,-7.088,-29.380,-28.030,-25.933,-26.039,-29.316,-38.037,-33.693,-31.723,-29.233,-38.296,-25.380,-22.994,-26.285,-33.125,-29.145,-28.240,-28.294,-27.260,-30.886,-31.826,-29.453,-59.589,-27.356,-29.408,-39.575,-30.695,-26.221,-27.434,-28.499,-32.393,-32.585,-30.061,-34.083,-35.867,-32.364,-29.706,-26.752,-30.783,-28.223,-26.773,-43.641,-41.765,-34.185,-28.072,-29.975,-27.941
257.370,-93.314,-29.946,-32.034,-29.862,-25.208,-24.187,-32.564,-25.471,-22.446,-22.113,-24.031,-29.161,-33.597,-36.775,-42.810,-30.309,-25.963,-26.908,-32.055,-26.642,-30.843,-31.082,-25.989,-28.658,-30.420,-26.943,-30.131,-32.936,-31.506,-30.424,-34.496,-43.100,-37.291,-41.694,-38.763,-31.099,-26.169,-28.437,-41.345,-30.515,-26.920,-27.936,-33.839,-34.856,-38.260,-35.264,-27.178,-28.443,-36.937,-34.398,-29.786,3.937,19.615,23.081,15.272,-7.572,-29.322,-29.922,-32.390,-32.230,-29.156,-27.528,-27.757,-26.071,-32.761,-38.272,-30.214,-25.098,-23.771,-27.105,-35.867,-34.071,-34.507,-28.044,-22.675,-24.454,-31.668,-26.578,-24.805,-33.184,-32.479,-29.396,-33.791,-32.447,-26.940,-25.914,-25.526,-34.203,-31.323,-28.788,-30.081,-35.174,-36.065,-29.765,-26.254,-24.659,-28.223,-27.193,-28.182,-32.114,-36.501,-41.786
259.403,-93.314,-21.919,-24.065,-40.354,-35.478,-31.658,-32.330,-22.707,-26.947,-40.959,-33.825,-35.923,-38.794,-36.939,-29.329,-36.550,-33.746,-26.655,-24.554,-23.736,-26.808,-28.544,-29.767,-37.390,-47.925,-34.085,-30.783,-33.130,-30.926,-39.376,-30.580,-26.648,-38.799,-34.625,-32.027,-27.381,-29.789,-34.638,-34.847,-36.304,-32.499,-24.640,-27.036,-31.418,-29.243,-30.559,-31.337,-33.263,-32.141,-30.147,-28.882,4.347,19.916,23.371,15.572,-6.549,-25.599,-28.156,-40.570,-32.022,-41.008,-28.251,-27.513,-28.071,-32.752,-43.519,-35.216,-31.326,-28.960,-30.937,-27.322,-23.329,-21.763,-26.401,-30.223,-31.159,-28.621,-40.265,-24.697,-23.367,-31.596,-31.133,-32.574,-33.190,-29.818,-27.774,-32.977,-26.983,-24.385,-28.196,-35.206,-41.814,-37.107,-29.217,-33.046,-37.815,-32.382,-27.963,-29.572,-28.574,-29.334,-35.807
261.436,-93.314,-31.447,-27.694,-24.701,-32.176,-30.109,-24.286,-28.712,-28.798,-28.900,-33.407,-32.104,-33.700,-33.744,-35.714,-30.289,-28.322,-27.038,-24.765,-25.709,-36.108,-27.730,-30.000,-30.364,-33.038,-41.221,-23.231,-20.315,-23.635,-25.957,-26.765,-25.322,-27.402,-34.266,-28.412,-21.973,-19.863,-26.112,-35.462,-32.444,-44.749,-44.247,-27.394,-29.524,-31.917,-29.423,-27.784,-36.979,-30.516,-31.691,-40.208,4.687,20.212,23.658,15.792,-7.947,-28.291,-29.929,-35.184,-31.036,-31.804,-31.171,-31.645,-27.293,-25.359,-33.595,-27.509,-26.414,-24.704,-25.162,-23.192,-27.089,-33.502,-34.292,-30.560,-33.873,-34.879,-31.207,-30.787,-34.878,-34.674,-37.736,-41.163,-32.915,-31.612,-40.194,-38.258,-31.572,-25.885,-27.258,-32.145,-28.445,-29.241,-36.422,-30.783,-27.304,-27.024,-28.001,-29.420,-36.638,-31.233,-24.750
263.469,-93.314,-33.411,-25.585,-29.211,-35.789,-27.035,-28.766,-32.884,-29.529,-27.683,-28.773,-25.922,-23.211,-22.937,-22.527,-26.012,-35.768,-36.787,-34.223,-43.167,-36.295,-30.930,-27.637,-34.693,-30.458,-27.171,-29.656,-34.451,-30.931,-36.299,-29.911,-32.914,-27.370,-28.279,-25.591,-24.643,-28.692,-30.864,-27.983,-25.057,-33.044,-40.088,-34.075,-29.600,-26.612,-27.375,-29.674,-26.078,-27.330,-30.463,-25.263,4.600,20.492,23.988,16.174,-6.305,-22.996,-28.560,-32.479,-27.237,-24.583,-26.841,-36.008,-31.350,-25.072,-23.930,-28.027,-36.495,-29.296,-34.437,-30.055,-33.260,-26.459,-23.330,-24.524,-21.521,-19.218,-27.058,-40.074,-37.598,-35.764,-40.087,-29.092,-27.807,-29.401,-33.530,-42.762,-32.307,-31.832,-30.948,-27.710,-30.767,-29.586,-28.579,-25.779,-23.671,-31.354,-29.374,-27.858,-33.407,-34.418,-43.134
265.502,-93.314,-40.816,-27.721,-24.835,-31.387,-28.697,-30.191,-33.701,-35.459,-30.397,-35.623,-30.585,-39.137,-35.326,-51.401,-33.749,-24.169,-25.130,-32.083,-31.356,-31.162,-26.800,-29.752,-30.354,-35.196,-32.819,-28.985,-27.151,-31.546,-34.546,-32.536,-26.960,-28.929,-29.348,-22.864,-21.412,-31.655,-23.536,-25.508,-36.340,-37.398,-42.195,-35.941,-38.508,-36.509,-27.351,-28.345,-33.999,-31.398,-32.415,-26.331,5.676,20.933,24.345,16.483,-7.216,-27.477,-30.766,-35.067,-39.431,-28.748,-31.370,-37.155,-34.141,-28.557,-27.052,-24.997,-27.709,-38.078,-36.065,-33.107,-27.248,-25.120,-26.663,-35.052,-38.970,-41.132,-32.317,-36.922,-34.428,-33.515,-38.809,-29.511,-28.200,-32.226,-35.082,-47.234,-32.004,-28.266,-33.325,-32.171,-43.296,-32.729,-27.394,-36.019,-31.664,-28.579,-38.239,-30.408,-28.969,-33.468,-31.792
267.535,-93.314,-36.421,-39.826,-31.085,-29.348,-27.429,-25.281,-26.690,-22.798,-25.509,-32.101,-28.816,-27.386,-27.051,-27.359,-34.750,-32.326,-32.299,-30.082,-43.467,-27.738,-26.303,-27.195,-27.947,-37.808,-31.863,-37.549,-38.111,-29.117,-33.000,-43.986,-37.691,-27.903,-30.022,-34.213,-26.173,-28.683,-34.839,-28.924,-23.953,-29.741,-28.629,-28.389,-27.667,-37.104,-30.514,-33.157,-33.870,-29.849,-33.362,-27.837,5.760,21.152,24.588,16.692,-7.489,-32.669,-30.721,-25.960,-27.611,-42.855,-31.988,-30.726,-28.162,-29.080,-33.292,-27.543,-24.821,-31.541,-32.579,-25.210,-27.438,-39.423,-25.583,-27.200,-30.149,-34.176,-31.698,-27.080,-25.722,-35.074,-29.741,-26.438,-28.699,-29.485,-29.869,-29.312,-32.758,-36.434,-30.170,-28.557,-27.729,-28.687,-31.299,-29.142,-38.171,-31.804,-28.615,-29.419,-23.949,-29.178,-31.682
269.568,-93.314,-27.133,-26.051,-27.525,-33.356,-38.471,-33.521,-28.778,-26.407,-31.180,-29.510,-36.257,-27.503,-24.835,-27.733,-29.349,-27.294,-25.768,-28.146,-33.269,-32.266,-29.542,-28.048,-29.453,-26.681,-29.736,-34.899,-25.785,-27.047,-28.669,-27.025,-28.490,-29.815,-33.972,-32.996,-41.121,-32.604,-30.407,-33.410,-31.040,-26.216,-30.328,-38.220,-25.914,-33.136,-36.544,-26.612,-28.295,-27.831,-29.236,-30.188,5.927,21.276,24.685,16.777,-6.084,-30.187,-31.175,-35.215,-32.460,-35.015,-25.462,-26.984,-34.194,-27.845,-23.427,-25.678,-36.197,-30.068,-26.717,-42.335,-34.441,-29.456,-29.988,-27.087,-25.383,-35.622,-35.190,-41.510,-28.448,-30.315,-36.854,-34.403,-33.483,-26.371,-23.813,-32.649,-29.377,-25.515,-25.136,-28.544,-50.836,-36.517,-27.562,-24.927,-25.954,-31.638,-43.929,-34.977,-28.737,-26.995,-25.890
