PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-96.678
144.960,91.097,-98.359
166.484,91.097,-97.240
188.007,91.097,-97.540
209.530,91.097,-97.811
231.054,91.097,-98.236
252.577,91.097,-98.619
274.100,91.097,-97.906
295.624,91.097,-98.108
317.147,91.097,-98.427
123.437,103.202,-97.993
144.960,103.202,-97.710
166.484,103.202,-97.510
188.007,103.202,-97.452
209.530,103.202,-98.391
231.054,103.202,-98.523
252.577,103.202,-98.250
274.100,103.202,-99.241
295.624,103.202,-97.408
317.147,103.202,-97.395
123.437,115.307,-98.643
144.960,115.307,-98.631
166.484,115.307,-96.421
188.007,115.307,-97.710
209.530,115.307,-97.429
231.054,115.307,-98.603
252.577,115.307,-97.860
274.100,115.307,-98.148
295.624,115.307,-96.691
317.147,115.307,-98.407
123.437,127.412,-98.833
144.960,127.412,-98.349
166.484,127.412,-98.259
188.007,127.412,-97.308
209.530,127.412,-97.799
231.054,127.412,-98.005
252.577,127.412,-97.499
274.100,127.412,-97.793
295.624,127.412,-97.646
317.147,127.412,-96.423
123.437,139.517,-98.381
144.960,139.517,-98.742
166.484,139.517,-98.250
188.007,139.517,-98.253
209.530,139.517,-98.308
231.054,139.517,-98.164
252.577,139.517,-98.629
274.100,139.517,-98.538
295.624,139.517,-98.384
317.147,139.517,-99.036
