PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-97.661
209.530,91.097,-97.031
295.624,91.097,-96.834
123.437,112.617,-98.070
209.530,112.617,-96.639
295.624,112.617,-98.232
123.437,134.137,-97.610
209.530,134.137,-97.472
295.624,134.137,-97.752
317.150,91.100,-96.961
166.480,139.520,-97.344
317.150,128.760,-97.008
317.150,101.860,-97.720
123.440,139.520,-98.213
317.150,139.520,-97.216
252.580,139.520,-97.975
166.480,91.100,-97.454
252.580,101.860,-97.739
252.580,91.100,-96.920
166.480,101.860,-98.013
144.960,134.140,-97.663
123.440,101.860,-98.195
144.960,118.000,-97.311
144.960,91.100,-97.834
252.580,123.380,-97.656
274.100,96.480,-98.309
231.050,112.620,-97.866
231.050,139.520,-97.596
231.050,91.100,-97.538
188.010,91.100,-98.066
144.960,139.520,-95.410
166.480,128.760,-97.561
188.010,118.000,-97.633
188.010,139.520,-97.384
295.620,139.520,-97.516
166.480,118.000,-95.560
188.010,101.860,-97.042
209.530,139.520,-98.297
274.100,118.000,-97.805
231.050,128.760,-98.004
209.530,123.380,-98.353
209.530,96.480,-97.947
295.620,123.380,-96.945
123.440,123.380,-96.863
123.440,96.480,-97.536
295.620,101.860,-97.664
144.960,128.760,-97.168
144.960,107.240,-97.565
231.050,96.480,-96.254
231.050,101.860,-97.279
