PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
317.147,96.477,-100.556,-103.308,-101.499,-103.803,-97.030,-100.688,-102.084,-100.456,-102.053,-99.336,-102.214,-103.425,-97.694,-100.847,-98.608,-102.982,-103.185,-101.657,-100.029,-102.490,-99.700,-100.067,-102.333,-97.959,-101.327,-102.565,-100.633,-101.729,-101.614,-99.392,-99.645,-102.634,-100.629,-100.197,-99.003,-101.330,-99.949,-100.017,-101.515,-101.959,-101.961,-99.127,-100.775,-99.566,-101.010,-100.609,-100.915,-100.928,-100.992,-99.305,-99.919,-98.065,-102.201,-102.646,-100.004,-101.968,-99.653,-101.872,-101.913,-98.391,-100.216,-101.168,-103.291,-103.396,-99.988,-99.091,-101.719,-100.204,-104.077,-101.962,-101.832,-98.802,-100.570,-98.648,-101.619,-99.582,-99.530,-97.921,-101.525,-100.394,-100.188,-101.724,-100.510,-100.349,-99.873,-100.860,-99.630,-101.451,-101.307,-98.677,-100.760,-101.212,-100.390,-100.502,-102.482,-100.637,-103.129,-102.121,-99.713,-101.555,-100.906
295.624,96.477,-103.300,-101.723,-102.037,-102.201,-100.665,-99.707,-102.109,-101.036,-100.364,-97.843,-102.799,-100.466,-99.274,-99.163,-100.211,-101.901,-102.066,-100.284,-100.512,-100.374,-100.803,-101.305,-98.782,-100.214,-102.498,-102.843,-99.950,-99.215,-101.999,-101.806,-101.625,-100.867,-100.938,-102.134,-99.130,-100.761,-100.166,-101.354,-103.030,-98.633,-101.340,-101.610,-99.375,-100.208,-95.926,-100.995,-99.736,-100.958,-102.540,-102.085,-98.789,-97.382,-102.739,-102.887,-99.948,-98.840,-101.978,-98.334,-101.442,-102.642,-102.583,-101.230,-101.424,-101.016,-101.769,-101.564,-99.256,-99.134,-100.232,-102.722,-100.277,-102.193,-98.256,-99.710,-100.217,-100.636,-101.010,-101.527,-98.341,-101.429,-100.062,-101.188,-100.656,-101.820,-100.140,-101.401,-102.678,-103.032,-100.967,-101.498,-99.617,-96.608,-99.884,-102.088,-101.682,-102.747,-101.764,-100.242,-100.022,-101.084,-99.974
274.100,96.477,-101.096,-102.554,-100.659,-99.121,-102.632,-102.108,-99.742,-102.491,-98.864,-102.817,-99.733,-100.559,-99.386,-102.435,-103.910,-98.688,-100.563,-100.139,-101.419,-99.332,-101.512,-103.806,-101.411,-98.990,-100.957,-101.397,-100.940,-100.079,-100.869,-100.520,-102.414,-102.264,-98.543,-100.103,-99.968,-99.922,-102.795,-101.612,-98.971,-101.247,-99.781,-102.257,-101.533,-101.922,-99.298,-100.587,-99.107,-102.618,-100.372,-102.700,-100.866,-102.328,-102.694,-97.653,-98.382,-102.339,-100.690,-100.700,-103.170,-103.155,-100.312,-99.347,-100.740,-105.014,-100.970,-99.949,-100.785,-101.079,-102.248,-101.320,-101.279,-98.874,-101.616,-100.873,-100.787,-98.182,-103.039,-100.173,-99.635,-100.082,-98.777,-101.704,-102.856,-101.400,-103.164,-99.829,-100.271,-102.026,-99.774,-101.069,-99.246,-99.035,-100.679,-100.612,-99.103,-100.441,-101.173,-102.871,-99.608,-99.764,-101.677
252.577,96.477,-99.677,-102.211,-99.578,-101.672,-97.415,-102.368,-99.886,-97.763,-103.439,-102.699,-100.273,-100.436,-100.528,-100.556,-99.252,-101.017,-99.420,-99.861,-100.623,-99.531,-101.769,-100.385,-100.116,-101.884,-100.191,-101.783,-102.594,-102.100,-104.209,-99.940,-98.390,-100.863,-99.967,-98.858,-101.205,-99.688,-101.442,-102.827,-99.880,-101.259,-98.783,-100.014,-101.247,-99.482,-100.057,-100.738,-99.884,-99.070,-100.587,-100.321,-100.214,-100.875,-101.275,-100.177,-102.431,-99.169,-99.807,-100.530,-100.594,-101.631,-101.419,-102.173,-101.146,-101.392,-100.932,-100.921,-99.607,-102.776,-100.964,-100.926,-101.099,-101.477,-102.513,-98.625,-101.310,-101.083,-100.399,-98.914,-99.802,-101.680,-100.902,-99.465,-100.988,-101.638,-99.392,-101.497,-100.107,-100.444,-101.239,-100.510,-102.820,-97.726,-99.567,-98.607,-102.846,-99.681,-101.708,-100.974,-103.497,-101.219,-103.436
231.054,96.477,-101.292,-102.432,-98.962,-100.644,-98.597,-99.975,-101.150,-98.350,-99.304,-100.418,-100.806,-98.365,-102.880,-100.831,-100.705,-101.410,-101.096,-100.117,-102.678,-100.729,-102.791,-100.419,-100.213,-98.760,-98.597,-102.594,-100.657,-101.490,-102.779,-103.978,-102.590,-101.439,-102.663,-100.399,-100.923,-101.822,-99.800,-101.091,-99.497,-101.729,-100.998,-103.075,-98.714,-101.618,-101.349,-97.882,-98.672,-100.199,-101.623,-102.347,-101.444,-101.153,-99.049,-102.712,-99.360,-101.799,-102.962,-102.072,-99.968,-97.697,-101.552,-103.915,-101.843,-101.364,-101.951,-102.214,-100.196,-101.602,-101.526,-100.489,-102.093,-102.185,-101.864,-100.333,-99.868,-98.412,-99.265,-100.721,-100.022,-101.833,-98.198,-100.468,-99.783,-98.644,-101.459,-99.652,-101.155,-100.879,-97.166,-100.070,-103.355,-102.796,-102.758,-100.533,-100.753,-99.493,-101.709,-101.523,-100.833,-101.574,-104.217
209.530,96.477,-101.557,-103.070,-100.853,-102.660,-104.029,-102.654,-98.622,-100.755,-102.423,-101.206,-102.991,-98.616,-103.602,-101.033,-100.373,-102.195,-101.488,-102.296,-102.260,-98.883,-100.258,-100.961,-100.208,-101.431,-102.753,-99.540,-102.734,-101.034,-100.641,-102.526,-100.552,-100.812,-100.759,-98.632,-98.962,-101.207,-99.748,-100.209,-102.195,-102.123,-101.173,-98.771,-100.256,-100.972,-100.372,-99.636,-102.761,-103.062,-102.764,-100.691,-101.299,-102.230,-103.290,-101.703,-101.909,-101.918,-102.335,-101.942,-102.645,-96.889,-101.558,-100.898,-101.198,-99.553,-101.966,-103.952,-99.584,-98.351,-99.969,-100.763,-104.192,-97.965,-100.650,-102.565,-99.721,-101.074,-100.350,-101.801,-102.119,-101.755,-101.984,-100.230,-101.689,-98.295,-101.872,-101.310,-100.809,-100.804,-100.835,-103.133,-102.849,-102.815,-100.651,-101.596,-101.665,-101.254,-100.908,-103.276,-99.104,-97.671,-101.461
188.007,96.477,-101.857,-102.597,-100.522,-101.852,-102.937,-101.390,-99.021,-102.041,-99.522,-99.396,-99.722,-101.242,-100.744,-101.373,-102.636,-102.533,-99.731,-101.968,-100.745,-100.328,-100.491,-100.576,-99.212,-99.679,-101.014,-101.545,-100.243,-98.750,-102.514,-102.102,-101.749,-99.488,-99.662,-101.878,-99.719,-102.752,-101.966,-102.866,-100.785,-98.673,-98.829,-100.329,-102.711,-98.955,-103.172,-98.838,-102.066,-102.343,-101.712,-99.833,-101.863,-99.765,-99.512,-101.993,-100.146,-100.396,-100.985,-99.453,-99.228,-101.070,-102.699,-101.626,-100.677,-101.091,-99.487,-98.835,-99.090,-102.411,-98.908,-99.228,-100.444,-98.890,-102.572,-101.782,-101.505,-100.367,-101.068,-101.074,-102.345,-102.891,-99.180,-102.618,-99.976,-100.376,-102.013,-99.329,-104.122,-101.101,-101.255,-101.008,-98.998,-101.690,-100.733,-101.868,-99.947,-100.994,-98.853,-99.368,-101.001,-99.130,-99.112
166.484,96.477,-98.993,-100.282,-101.280,-101.146,-100.067,-103.073,-101.177,-100.936,-100.980,-100.446,-101.268,-101.339,-100.110,-100.190,-102.195,-101.344,-102.972,-99.491,-101.963,-101.628,-100.902,-100.068,-101.635,-100.300,-102.913,-98.570,-99.926,-102.754,-98.756,-102.355,-98.398,-100.820,-101.450,-99.940,-100.535,-99.683,-101.828,-100.248,-101.826,-100.905,-98.459,-101.994,-100.100,-101.239,-103.458,-102.649,-100.311,-101.781,-100.997,-99.350,-99.834,-99.821,-103.394,-101.434,-100.576,-100.069,-101.056,-100.737,-100.785,-102.012,-102.486,-100.776,-99.708,-101.405,-100.256,-102.754,-102.472,-101.358,-101.187,-99.913,-103.198,-101.212,-99.231,-101.357,-101.460,-102.501,-100.803,-101.056,-100.811,-101.693,-102.945,-99.827,-99.950,-99.952,-101.754,-100.191,-101.346,-100.629,-102.451,-99.274,-100.735,-100.134,-99.333,-100.680,-99.853,-101.924,-103.720,-96.913,-98.297,-102.501,-99.805
144.960,96.477,-99.672,-100.875,-99.109,-99.964,-100.280,-102.216,-101.613,-102.217,-101.109,-102.352,-98.674,-100.826,-102.332,-103.314,-101.915,-99.457,-100.506,-102.347,-99.592,-98.879,-98.828,-102.535,-102.744,-100.315,-100.893,-102.289,-101.126,-102.381,-102.466,-102.110,-101.356,-98.027,-101.084,-100.618,-100.288,-102.599,-102.133,-101.239,-102.933,-102.243,-101.407,-100.055,-103.040,-99.832,-98.945,-100.415,-101.660,-101.198,-101.816,-101.147,-100.662,-101.185,-102.941,-101.793,-101.196,-103.407,-99.480,-100.681,-101.583,-102.632,-99.355,-97.606,-101.935,-98.620,-99.480,-101.786,-100.664,-102.587,-100.666,-102.402,-100.322,-99.113,-100.513,-99.598,-101.626,-100.461,-101.597,-100.818,-102.893,-102.844,-100.128,-102.187,-101.225,-99.046,-99.915,-100.667,-101.895,-102.718,-99.497,-99.841,-99.724,-98.948,-98.802,-99.849,-101.649,-103.011,-99.667,-101.043,-101.042,-99.265,-98.242
123.437,96.477,-103.015,-102.973,-98.483,-99.392,-102.870,-104.536,-100.857,-102.215,-101.021,-100.910,-101.123,-101.923,-100.852,-100.387,-100.953,-101.776,-102.239,-101.489,-100.221,-100.626,-102.005,-100.792,-101.359,-97.033,-102.885,-102.100,-100.659,-100.990,-100.941,-100.320,-103.780,-101.160,-101.424,-101.559,-100.131,-101.496,-100.781,-99.088,-102.013,-101.648,-102.034,-101.898,-99.546,-99.570,-101.598,-100.763,-100.955,-101.101,-103.181,-101.841,-103.008,-100.391,-96.847,-103.455,-100.078,-100.528,-101.745,-101.532,-99.504,-101.174,-101.985,-102.736,-101.004,-102.466,-102.465,-101.630,-99.211,-100.124,-101.703,-99.981,-99.565,-100.710,-100.197,-98.622,-102.323,-100.669,-100.847,-101.604,-101.104,-101.388,-103.756,-100.882,-100.300,-100.444,-101.958,-102.538,-97.844,-100.110,-98.857,-99.281,-100.097,-101.053,-102.703,-100.267,-103.896,-100.330,-99.180,-99.077,-101.620,-102.433,-100.806
