PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
123.437,91.097,-99.496,-102.322,-101.708,-101.139,-100.337,-102.417,-105.087,-104.726,-101.132,-101.565,-103.057,-103.796,-99.944,-100.112,-104.782,-102.312,-100.090,-99.914,-99.818,-100.400,-101.071,-100.476,-103.540,-102.880,-102.268,-102.205,-101.886,-101.701,-103.487,-100.213,-98.464,-102.205,-101.150,-102.419,-100.832,-99.718,-101.966,-101.512,-101.234,-101.352,-101.089,-101.798,-101.189,-101.931,-100.833,-101.854,-102.334,-100.990,-101.037,-100.531,-102.136,-104.572,-102.726,-101.948,-100.267,-103.035,-101.160,-103.619,-99.419,-100.189,-100.488,-100.025,-99.516,-102.178,-100.667,-99.581,-101.146,-103.687,-102.582,-100.818,-101.716,-101.056,-101.615,-101.071,-101.998,-101.017,-102.408,-101.992,-100.544,-100.783,-101.507,-102.276,-100.606,-102.937,-100.538,-98.582,-99.962,-102.790,-100.187,-101.423,-102.593,-102.251,-99.229,-99.082,-102.351,-101.201,-102.521,-100.374,-102.325,-102.076,-102.405
178.783,91.097,-101.734,-101.208,-99.422,-101.362,-106.124,-101.484,-100.715,-100.139,-98.367,-101.134,-102.547,-103.818,-102.205,-101.456,-98.987,-104.009,-100.572,-100.210,-102.781,-102.984,-100.271,-101.869,-105.151,-101.178,-101.447,-102.142,-103.620,-102.879,-101.492,-103.398,-99.802,-100.417,-101.860,-99.672,-100.892,-98.115,-102.302,-103.160,-102.903,-101.375,-100.011,-103.638,-100.473,-99.674,-101.347,-101.295,-100.475,-104.172,-102.442,-101.501,-103.025,-100.726,-101.376,-101.504,-100.793,-102.610,-101.410,-102.488,-99.398,-102.186,-102.151,-102.179,-102.048,-100.823,-100.281,-99.847,-101.872,-102.778,-100.904,-101.926,-101.059,-103.081,-105.079,-101.538,-99.962,-103.102,-102.452,-101.157,-99.795,-103.180,-104.895,-103.715,-101.671,-103.260,-101.895,-104.445,-102.043,-101.438,-102.885,-100.919,-101.853,-100.345,-102.416,-101.547,-100.038,-101.797,-102.819,-102.823,-100.196,-102.348,-101.495
234.129,91.097,-99.405,-100.555,-102.504,-100.678,-100.969,-100.217,-103.154,-101.139,-102.355,-102.165,-101.838,-100.973,-102.359,-100.991,-100.544,-102.762,-102.462,-100.938,-99.594,-102.179,-99.344,-101.243,-103.186,-100.751,-100.833,-101.890,-100.355,-100.789,-101.024,-101.566,-99.949,-101.463,-103.776,-104.142,-100.143,-100.223,-102.553,-102.887,-103.271,-102.246,-102.246,-101.389,-102.388,-102.503,-97.821,-102.266,-101.975,-102.087,-100.780,-100.349,-101.316,-101.676,-100.398,-102.139,-101.345,-102.914,-101.402,-100.196,-103.558,-102.129,-101.673,-99.650,-99.643,-103.995,-103.464,-100.810,-101.776,-99.572,-103.609,-105.202,-100.448,-102.189,-100.196,-101.849,-105.312,-100.872,-102.472,-103.349,-100.394,-102.113,-102.298,-98.869,-101.340,-103.650,-99.800,-103.166,-102.951,-102.480,-104.320,-103.328,-101.203,-100.202,-100.854,-102.270,-101.669,-101.152,-102.621,-100.474,-101.558,-100.316,-101.754
289.474,91.097,-104.050,-101.011,-103.745,-101.387,-102.751,-102.280,-103.168,-101.164,-100.677,-101.041,-100.543,-98.510,-102.750,-103.894,-102.237,-101.603,-103.054,-103.802,-100.259,-102.587,-101.907,-102.163,-103.791,-101.472,-100.306,-102.046,-100.591,-98.858,-99.720,-100.612,-101.615,-102.056,-100.767,-102.633,-102.788,-101.488,-99.218,-100.414,-97.829,-104.182,-103.100,-102.550,-99.497,-100.682,-101.502,-103.203,-100.693,-102.722,-102.862,-101.039,-104.310,-104.001,-103.350,-99.332,-101.900,-100.050,-101.612,-102.089,-101.361,-101.907,-103.005,-102.002,-100.460,-100.014,-97.977,-102.340,-103.188,-99.930,-102.329,-100.909,-101.907,-98.454,-99.329,-98.875,-99.396,-101.919,-101.964,-99.514,-101.538,-103.625,-102.108,-99.339,-104.432,-101.073,-101.515,-100.823,-101.952,-102.658,-102.173,-101.773,-101.251,-102.471,-101.201,-102.518,-100.976,-102.776,-101.638,-102.799,-102.475,-100.858,-102.663
123.437,104.931,-101.330,-101.049,-102.928,-99.525,-103.738,-101.452,-103.347,-103.827,-100.987,-100.455,-100.064,-100.340,-101.591,-102.583,-102.419,-100.039,-99.926,-104.116,-103.321,-101.559,-100.290,-103.709,-101.358,-101.311,-100.979,-101.229,-100.466,-99.679,-103.261,-102.831,-102.907,-102.957,-101.506,-102.443,-100.301,-101.345,-100.660,-100.526,-98.567,-100.934,-104.200,-100.719,-100.830,-100.466,-101.982,-100.743,-104.304,-103.774,-103.089,-99.382,-102.801,-102.646,-98.680,-102.531,-105.466,-99.879,-99.648,-99.642,-100.337,-103.418,-100.154,-102.877,-101.722,-102.012,-102.275,-101.805,-101.550,-100.337,-100.476,-102.139,-100.458,-102.244,-101.714,-103.197,-100.037,-101.605,-101.147,-98.048,-104.103,-100.783,-103.359,-98.975,-101.585,-102.391,-102.226,-99.420,-101.570,-104.360,-101.745,-99.898,-99.404,-102.075,-102.536,-101.655,-103.794,-101.972,-101.893,-103.069,-101.401,-101.754,-103.681
178.783,104.931,-103.241,-100.494,-102.274,-100.493,-100.849,-100.992,-103.572,-102.026,-100.983,-103.529,-101.969,-101.339,-103.836,-102.443,-103.191,-102.482,-99.938,-102.180,-102.180,-101.047,-99.751,-99.675,-103.704,-102.096,-101.661,-101.995,-99.874,-101.649,-100.907,-103.957,-103.194,-102.530,-102.690,-101.855,-102.235,-99.831,-101.793,-100.166,-101.892,-103.520,-99.956,-100.586,-99.947,-102.816,-97.847,-102.105,-101.737,-103.386,-104.345,-100.630,-104.959,-101.405,-102.562,-100.068,-101.601,-99.821,-101.101,-102.730,-101.122,-101.521,-100.312,-103.169,-99.891,-101.507,-101.236,-101.606,-98.907,-102.957,-99.339,-99.226,-102.091,-101.454,-103.116,-100.994,-101.150,-101.782,-104.160,-102.246,-102.271,-102.439,-102.291,-99.563,-102.486,-99.734,-102.306,-102.809,-102.715,-101.470,-100.269,-100.310,-101.654,-101.879,-104.049,-102.549,-101.166,-100.537,-101.063,-102.718,-102.195,-100.272,-101.663
234.129,104.931,-101.461,-103.563,-102.800,-99.033,-100.462,-102.665,-101.292,-99.608,-103.805,-103.103,-101.097,-102.942,-102.809,-102.131,-101.543,-104.104,-101.873,-103.686,-100.209,-98.080,-103.065,-99.701,-99.693,-103.092,-102.319,-99.679,-99.064,-101.495,-101.673,-99.987,-102.701,-100.410,-101.981,-101.082,-101.728,-101.990,-102.278,-102.871,-102.989,-101.723,-102.353,-102.689,-101.285,-102.244,-100.730,-101.654,-99.704,-102.368,-103.965,-102.492,-101.338,-97.164,-103.362,-99.500,-101.423,-99.683,-103.588,-100.037,-101.172,-103.453,-98.490,-101.642,-102.887,-101.659,-101.343,-100.931,-99.471,-100.626,-104.083,-102.086,-101.343,-100.835,-101.297,-102.756,-101.728,-102.635,-99.462,-102.586,-99.602,-103.536,-102.740,-104.314,-101.942,-100.840,-100.770,-100.618,-103.206,-100.481,-100.702,-99.966,-100.746,-101.359,-98.514,-101.361,-101.219,-98.658,-99.516,-101.146,-100.896,-99.765,-104.576
289.474,104.931,-101.412,-100.546,-100.003,-101.351,-102.046,-100.734,-99.664,-100.592,-101.191,-104.752,-100.868,-100.997,-102.862,-102.526,-98.974,-101.901,-99.538,-100.718,-101.837,-103.120,-101.309,-99.834,-101.237,-100.681,-102.316,-101.122,-100.602,-104.384,-103.660,-102.057,-102.094,-102.617,-101.504,-99.558,-100.240,-99.966,-104.673,-100.330,-103.354,-101.600,-100.542,-100.254,-101.482,-100.384,-101.991,-99.443,-104.012,-102.044,-102.013,-101.050,-101.857,-101.127,-101.672,-101.925,-99.971,-100.938,-102.403,-101.872,-100.941,-103.042,-99.029,-101.667,-103.464,-103.047,-102.711,-101.466,-98.843,-100.909,-102.206,-102.204,-102.660,-103.424,-101.070,-103.577,-100.164,-103.261,-101.660,-102.194,-100.460,-99.841,-104.389,-103.195,-102.181,-100.404,-101.133,-101.701,-101.354,-101.824,-101.434,-100.128,-100.807,-101.257,-100.432,-101.515,-99.724,-104.385,-105.285,-103.182,-101.345,-101.270,-101.475
123.437,118.766,-101.171,-101.613,-99.786,-102.439,-101.773,-102.254,-104.566,-100.339,-102.310,-101.769,-101.586,-103.658,-101.965,-100.752,-101.114,-98.644,-100.964,-102.622,-100.453,-101.137,-103.646,-99.632,-102.091,-101.036,-100.766,-102.394,-102.614,-101.684,-101.479,-103.088,-102.721,-101.194,-100.841,-103.109,-101.794,-102.284,-100.714,-101.805,-101.350,-102.954,-101.294,-102.478,-102.019,-101.964,-103.769,-102.235,-101.542,-100.619,-101.472,-102.220,-101.979,-99.429,-101.648,-101.817,-102.520,-101.257,-101.126,-100.416,-99.678,-100.619,-102.036,-100.255,-102.626,-100.053,-102.825,-103.156,-101.167,-99.772,-102.188,-101.405,-103.023,-101.683,-102.185,-100.906,-99.691,-99.473,-101.907,-102.764,-102.911,-102.441,-102.015,-103.003,-102.969,-102.886,-100.866,-104.000,-103.362,-101.936,-103.590,-104.243,-101.064,-99.093,-99.397,-102.396,-101.749,-99.216,-102.914,-101.883,-99.832,-101.854,-99.061
178.783,118.766,-99.580,-103.027,-101.228,-103.234,-103.981,-100.163,-102.091,-102.265,-102.710,-100.939,-100.077,-101.714,-101.193,-101.652,-104.313,-101.700,-98.294,-101.267,-100.508,-100.128,-101.129,-100.434,-103.480,-101.547,-102.650,-100.455,-103.194,-100.830,-100.519,-101.032,-99.495,-103.732,-102.436,-101.584,-103.353,-101.231,-101.165,-100.214,-103.343,-100.945,-103.813,-103.245,-102.118,-102.059,-102.406,-101.701,-100.259,-99.425,-101.544,-102.793,-101.370,-101.480,-100.341,-100.535,-102.388,-103.026,-102.471,-101.130,-101.278,-100.224,-101.103,-101.112,-101.209,-100.808,-98.452,-99.150,-98.926,-99.823,-99.943,-101.304,-100.483,-99.355,-102.917,-101.259,-102.949,-101.963,-97.667,-101.329,-101.178,-103.209,-100.147,-101.859,-102.918,-98.090,-101.158,-102.620,-102.185,-102.899,-102.258,-100.002,-102.663,-99.471,-101.598,-101.084,-103.061,-102.388,-103.672,-100.414,-99.678,-99.829,-100.907
