PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-98.464
178.783,91.097,-98.115
234.129,91.097,-97.821
289.474,91.097,-97.829
123.437,104.931,-98.048
178.783,104.931,-97.847
234.129,104.931,-97.164
289.474,104.931,-98.843
123.437,118.766,-98.644
178.783,118.766,-97.667
234.129,118.766,-97.943
289.474,118.766,-97.250
123.437,132.600,-98.006
178.783,132.600,-97.626
234.129,132.600,-97.969
289.474,132.600,-98.189
317.150,91.100,-98.313
317.150,139.520,-97.715
151.110,136.060,-98.041
123.440,139.520,-98.045
317.150,129.140,-96.938
151.110,91.100,-99.053
247.960,139.520,-95.759
192.620,139.520,-98.262
317.150,108.390,-98.937
137.270,98.010,-98.158
303.310,139.520,-98.138
206.460,129.140,-97.858
206.460,98.010,-96.365
261.800,94.560,-98.756
164.950,98.010,-97.820
151.110,111.850,-97.182
137.270,139.520,-98.798
164.950,129.140,-98.799
206.460,139.520,-98.460
192.620,125.680,-98.550
220.290,111.850,-98.370
261.800,122.220,-97.763
206.460,91.100,-97.514
303.310,94.560,-97.704
303.310,118.770,-98.220
275.640,94.560,-98.755
289.470,139.520,-97.726
123.440,94.560,-98.629
303.310,91.100,-98.265
261.800,139.520,-98.571
275.640,136.060,-98.453
247.960,111.850,-98.497
137.270,108.390,-97.769
178.780,139.520,-97.607
220.290,139.520,-97.691
275.640,122.220,-97.772
275.640,104.930,-98.012
317.150,98.010,-97.087
317.150,115.310,-98.295
303.310,108.390,-97.756
303.310,129.140,-98.491
261.800,111.850,-98.877
289.470,98.010,-97.877
247.960,129.140,-99.026
234.130,139.520,-97.290
220.290,129.140,-97.418
247.960,94.560,-97.776
247.960,122.220,-98.036
261.800,132.600,-98.718
192.620,115.310,-98.002
137.270,122.220,-97.492
164.950,139.520,-97.240
164.950,122.220,-98.191
164.950,111.850,-98.577
192.620,101.470,-98.175
192.620,91.100,-98.149
275.640,91.100,-97.630
261.800,91.100,-98.246
275.640,111.850,-98.021
220.290,91.100,-98.614
206.460,104.930,-97.602
220.290,98.010,-97.854
206.460,111.850,-98.202
261.800,101.470,-98.200
247.960,132.600,-98.175
247.960,91.100,-98.799
