PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-97.524
151.110,91.097,-98.176
178.783,91.097,-97.831
206.456,91.097,-97.072
234.129,91.097,-97.583
261.801,91.097,-96.720
289.474,91.097,-97.690
317.147,91.097,-97.898
123.437,98.014,-97.029
151.110,98.014,-98.321
178.783,98.014,-97.470
206.456,98.014,-98.435
234.129,98.014,-98.278
261.801,98.014,-97.402
289.474,98.014,-97.480
317.147,98.014,-98.760
123.437,104.931,-96.961
151.110,104.931,-98.277
178.783,104.931,-96.832
206.456,104.931,-98.605
234.129,104.931,-98.116
261.801,104.931,-97.960
289.474,104.931,-96.785
317.147,104.931,-98.226
123.437,111.848,-96.523
151.110,111.848,-98.205
178.783,111.848,-97.194
206.456,111.848,-98.502
234.129,111.848,-97.873
261.801,111.848,-98.581
289.474,111.848,-96.917
317.147,111.848,-97.410
123.437,118.766,-96.209
151.110,118.766,-97.768
178.783,118.766,-97.756
206.456,118.766,-98.378
234.129,118.766,-97.687
261.801,118.766,-98.710
289.474,118.766,-97.192
317.147,118.766,-97.253
123.437,125.683,-96.672
151.110,125.683,-97.178
178.783,125.683,-97.896
206.456,125.683,-98.136
234.129,125.683,-97.527
261.801,125.683,-98.517
289.474,125.683,-96.814
317.147,125.683,-98.201
123.437,132.600,-97.130
151.110,132.600,-96.772
178.783,132.600,-97.827
206.456,132.600,-97.959
234.129,132.600,-97.353
261.801,132.600,-97.911
289.474,132.600,-96.467
317.147,132.600,-98.487
123.437,139.517,-97.265
151.110,139.517,-97.487
178.783,139.517,-98.232
206.456,139.517,-98.389
234.129,139.517,-97.764
261.801,139.517,-97.617
289.474,139.517,-97.346
317.147,139.517,-96.318
