PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
123.437,91.097,-101.344,-101.925,-100.544,-99.151,-100.786,-100.314,-102.891,-99.591,-102.310,-100.362,-103.290,-100.860,-99.230,-102.751,-100.536,-101.715,-99.355,-98.349,-98.667,-101.210,-99.824,-100.814,-102.615,-99.915,-99.319,-100.317,-99.893,-101.171,-101.675,-100.667,-102.406,-101.110,-100.989,-101.689,-99.601,-100.578,-102.340,-101.134,-100.441,-101.056,-101.023,-101.718,-102.793,-99.585,-100.505,-98.820,-100.563,-99.685,-102.379,-100.145,-99.183,-99.629,-99.671,-102.459,-102.005,-101.685,-99.510,-102.399,-101.415,-102.752,-101.617,-99.134,-98.014,-102.769,-100.577,-100.603,-101.806,-100.591,-100.316,-101.028,-101.790,-100.242,-101.696,-103.912,-101.287,-101.656,-103.077,-101.200,-100.869,-101.152,-100.835,-100.718,-100.513,-101.880,-100.983,-103.210,-99.047,-100.637,-99.398,-99.829,-101.768,-98.213,-99.993,-100.737,-101.175,-101.975,-98.877,-100.147,-101.837,-101.981,-102.109
206.456,91.097,-99.721,-103.349,-100.363,-99.245,-98.910,-100.754,-102.023,-102.393,-101.340,-101.558,-100.753,-100.502,-101.215,-104.235,-101.317,-99.851,-101.674,-101.042,-100.360,-103.208,-100.136,-102.307,-102.503,-102.734,-100.704,-102.272,-103.891,-104.387,-99.955,-102.201,-100.191,-100.374,-98.469,-99.953,-101.615,-102.855,-99.117,-102.816,-103.321,-101.402,-100.712,-100.294,-101.263,-101.520,-99.585,-100.772,-100.904,-101.111,-99.927,-100.407,-99.900,-103.468,-103.365,-99.716,-100.848,-101.548,-103.011,-102.686,-102.656,-100.717,-100.452,-102.227,-100.946,-98.557,-100.545,-101.636,-102.315,-104.663,-100.800,-102.528,-100.294,-100.319,-102.417,-99.948,-98.533,-100.887,-103.029,-100.698,-99.211,-102.975,-100.818,-102.568,-100.416,-102.305,-100.014,-100.482,-98.567,-103.457,-101.966,-101.648,-99.832,-99.885,-98.184,-99.836,-102.036,-100.299,-98.450,-97.925,-100.956,-101.958,-100.393
289.474,91.097,-100.238,-101.471,-101.937,-101.199,-101.687,-102.044,-100.186,-102.102,-100.116,-101.841,-100.377,-98.798,-101.870,-100.586,-97.468,-99.249,-100.213,-102.189,-98.469,-101.439,-101.494,-100.178,-98.989,-100.891,-100.265,-102.077,-102.699,-101.999,-100.876,-100.462,-101.108,-101.739,-102.218,-100.455,-100.759,-99.774,-103.442,-98.829,-101.975,-102.063,-96.612,-98.264,-99.814,-99.927,-102.110,-103.285,-103.246,-98.959,-102.227,-100.302,-101.057,-99.175,-99.166,-99.524,-101.967,-102.819,-103.402,-102.212,-101.007,-102.487,-101.947,-99.614,-99.597,-100.853,-100.740,-103.180,-101.274,-99.588,-101.857,-101.404,-101.694,-99.527,-100.773,-98.752,-100.119,-99.839,-101.212,-101.582,-99.594,-102.181,-101.107,-99.810,-102.407,-99.722,-101.600,-100.460,-103.603,-101.561,-101.121,-105.381,-100.062,-99.158,-103.242,-103.614,-102.329,-100.381,-100.462,-100.008,-101.614,-102.794,-101.458
123.437,139.517,-101.477,-100.287,-100.197,-98.458,-100.934,-100.718,-100.036,-100.257,-100.694,-100.878,-101.182,-100.161,-101.220,-101.967,-103.503,-99.005,-101.780,-100.651,-100.904,-101.675,-100.515,-103.018,-102.397,-100.764,-100.540,-101.491,-102.210,-99.991,-98.844,-100.875,-99.467,-101.135,-102.346,-100.613,-101.085,-100.411,-100.149,-100.250,-99.822,-100.327,-102.034,-102.062,-99.807,-102.261,-100.362,-99.028,-103.156,-101.827,-100.447,-101.679,-102.120,-100.307,-99.889,-101.506,-98.504,-100.513,-102.405,-101.228,-101.050,-99.544,-99.607,-100.996,-100.277,-101.433,-102.948,-100.207,-101.368,-100.019,-100.834,-100.425,-101.027,-101.964,-101.020,-96.476,-96.475,-102.529,-102.048,-102.298,-102.409,-102.069,-100.949,-103.685,-100.424,-103.587,-100.463,-100.039,-99.375,-98.921,-99.306,-102.453,-100.236,-100.174,-99.604,-98.450,-101.044,-101.055,-102.832,-102.789,-99.349,-101.112,-99.811
206.456,139.517,-100.600,-101.650,-99.182,-99.721,-101.100,-102.826,-103.227,-100.438,-99.370,-103.071,-98.421,-102.464,-102.910,-99.702,-101.229,-100.852,-101.981,-101.840,-101.498,-102.858,-99.492,-102.116,-103.853,-101.854,-100.538,-100.337,-100.887,-101.754,-102.804,-100.364,-102.405,-101.812,-101.891,-101.684,-103.327,-100.775,-102.978,-100.818,-99.809,-99.959,-101.419,-101.898,-100.955,-100.738,-100.197,-101.114,-101.802,-103.559,-100.930,-101.580,-101.812,-102.905,-100.315,-100.744,-100.984,-101.623,-102.099,-102.060,-100.287,-100.193,-101.076,-101.534,-101.343,-101.612,-100.968,-102.248,-100.822,-102.136,-100.358,-101.573,-99.047,-101.087,-98.603,-101.320,-101.129,-102.075,-100.955,-100.136,-100.406,-100.365,-100.612,-101.435,-100.588,-101.573,-100.413,-101.909,-101.324,-103.108,-101.682,-102.015,-102.205,-102.519,-100.877,-101.876,-99.596,-101.046,-101.911,-102.101,-100.061,-102.064,-101.599
289.474,139.517,-101.673,-101.528,-100.243,-100.646,-99.062,-100.701,-100.024,-101.228,-101.028,-99.025,-100.701,-101.326,-100.827,-101.161,-101.531,-99.776,-99.617,-100.556,-101.490,-102.138,-102.153,-100.257,-100.441,-101.225,-100.435,-99.854,-102.020,-100.140,-99.634,-99.812,-101.099,-103.126,-101.271,-100.821,-101.286,-99.456,-102.719,-102.036,-101.423,-101.816,-97.886,-103.191,-102.221,-101.615,-101.042,-101.754,-102.239,-104.528,-100.835,-101.651,-101.333,-100.052,-101.856,-103.418,-102.882,-102.750,-100.091,-99.530,-98.482,-100.797,-101.132,-98.853,-100.385,-102.606,-99.536,-99.839,-98.730,-100.718,-101.207,-102.261,-100.821,-101.461,-100.249,-99.915,-102.082,-101.701,-101.246,-99.265,-100.457,-100.865,-102.354,-99.469,-100.167,-98.516,-102.546,-98.423,-99.494,-101.180,-100.490,-101.393,-101.896,-100.070,-101.054,-101.005,-100.135,-100.700,-101.696,-99.967,-101.345,-101.144,-99.892
317.150,91.100,-101.338,-102.259,-102.347,-100.374,-100.896,-101.009,-100.648,-103.117,-99.077,-104.765,-101.283,-99.088,-102.892,-100.874,-101.003,-102.405,-101.099,-101.670,-102.030,-101.765,-101.510,-103.186,-100.582,-99.264,-98.872,-103.020,-99.762,-101.581,-99.606,-99.048,-99.732,-100.305,-99.480,-102.128,-102.499,-101.513,-101.696,-103.227,-102.473,-101.472,-100.219,-99.806,-100.317,-103.143,-101.727,-101.858,-103.179,-102.026,-99.850,-102.979,-101.516,-100.802,-102.822,-101.260,-101.305,-102.643,-101.130,-100.251,-100.255,-100.946,-100.742,-98.139,-102.569,-101.902,-99.902,-100.051,-103.531,-100.575,-99.251,-100.663,-101.095,-102.075,-102.491,-102.866,-101.430,-104.371,-97.963,-100.253,-100.663,-100.785,-100.630,-102.964,-100.142,-100.278,-100.636,-99.835,-101.442,-103.642,-100.627,-100.284,-102.856,-103.903,-98.952,-101.922,-99.628,-100.001,-99.793,-100.976,-100.410,-99.449,-100.818
317.150,118.770,-102.405,-101.362,-102.777,-101.030,-99.725,-99.575,-100.391,-100.993,-101.673,-100.761,-102.018,-99.534,-100.027,-101.236,-103.075,-100.975,-101.264,-100.160,-103.243,-102.813,-100.281,-101.914,-101.792,-99.867,-99.975,-101.870,-103.814,-100.636,-99.101,-102.565,-101.554,-99.124,-101.040,-99.225,-102.142,-102.921,-103.630,-100.322,-101.526,-98.964,-100.680,-98.957,-101.144,-101.981,-102.763,-100.066,-99.806,-101.118,-102.075,-101.411,-99.011,-101.890,-99.386,-100.532,-100.104,-100.537,-102.414,-98.864,-100.770,-99.974,-101.691,-101.674,-101.927,-99.751,-100.858,-97.233,-99.060,-99.376,-98.928,-101.646,-101.325,-101.743,-101.158,-100.667,-102.213,-102.420,-99.645,-98.145,-102.101,-101.162,-102.630,-103.608,-99.824,-102.833,-101.056,-101.804,-99.384,-101.374,-99.824,-100.720,-100.010,-99.537,-100.335,-100.593,-100.828,-101.640,-102.387,-102.627,-102.665,-100.816,-101.297
151.110,139.520,-102.984,-100.705,-99.687,-100.531,-101.896,-101.645,-101.840,-102.866,-102.922,-99.504,-100.395,-102.061,-100.167,-102.420,-99.359,-101.175,-100.990,-100.025,-99.855,-103.950,-103.125,-99.727,-98.182,-99.504,-103.725,-100.627,-101.572,-99.587,-102.335,-101.010,-101.828,-100.513,-98.533,-100.225,-101.894,-100.940,-100.078,-101.011,-98.610,-101.623,-101.653,-102.448,-99.897,-101.242,-101.926,-100.108,-103.052,-99.999,-101.361,-102.997,-105.570,-100.162,-100.554,-101.507,-102.789,-99.943,-101.598,-101.983,-103.408,-101.032,-102.085,-101.476,-101.427,-103.221,-99.455,-101.949,-102.599,-100.023,-101.089,-104.045,-101.112,-101.800,-101.811,-102.137,-101.724,-99.403,-101.514,-98.289,-101.340,-103.732,-100.460,-101.501,-98.878,-100.833,-100.985,-101.504,-100.537,-100.638,-103.459,-100.859,-102.446,-99.911,-103.266,-102.306,-100.384,-99.902,-100.918,-100.789,-96.869,-102.989,-99.128
123.440,125.680,-100.737,-99.928,-100.676,-100.762,-102.421,-103.482,-101.516,-100.493,-100.337,-100.979,-100.718,-101.947,-102.390,-101.162,-100.958,-102.367,-101.544,-100.768,-101.854,-102.373,-102.837,-100.386,-101.754,-101.540,-102.338,-100.630,-100.746,-100.834,-101.748,-103.141,-99.801,-99.992,-98.599,-102.453,-99.825,-101.005,-99.217,-100.868,-104.003,-99.194,-99.779,-100.679,-102.917,-102.366,-101.353,-98.495,-100.037,-99.970,-100.886,-100.424,-99.853,-100.105,-100.711,-102.730,-99.775,-99.267,-101.858,-99.845,-101.262,-102.759,-103.684,-101.435,-100.224,-102.046,-99.057,-100.788,-100.382,-97.289,-100.896,-104.267,-100.309,-100.622,-98.793,-101.326,-100.681,-102.348,-101.431,-102.783,-101.194,-103.845,-101.477,-102.378,-101.481,-102.469,-99.243,-101.602,-100.043,-99.218,-101.959,-101.563,-102.006,-103.433,-100.092,-102.967,-99.490,-101.360,-100.888,-100.880,-99.771,-102.697,-99.953
