PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-96.706
164.218,91.097,-97.185
204.999,91.097,-98.449
245.780,91.097,-98.426
286.561,91.097,-98.938
123.437,101.290,-98.334
164.218,101.290,-98.727
204.999,101.290,-98.916
245.780,101.290,-98.317
286.561,101.290,-98.733
123.437,111.484,-98.528
164.218,111.484,-97.312
204.999,111.484,-98.802
245.780,111.484,-97.939
286.561,111.484,-98.212
123.437,121.678,-96.856
164.218,121.678,-97.131
204.999,121.678,-97.533
245.780,121.678,-97.842
286.561,121.678,-96.229
123.437,131.872,-97.839
164.218,131.872,-98.111
204.999,131.872,-98.228
245.780,131.872,-97.188
286.561,131.872,-98.652
317.150,139.520,-99.169
317.150,91.100,-96.721
317.150,121.680,-98.239
276.370,139.520,-98.385
123.440,139.520,-97.946
205.000,139.520,-98.402
143.830,96.190,-98.458
317.150,134.420,-98.015
296.760,139.520,-96.858
255.980,139.520,-97.000
143.830,139.520,-98.328
317.150,106.390,-97.503
306.950,136.970,-97.090
235.580,139.520,-97.719
306.950,93.640,-97.539
184.610,139.520,-98.795
306.950,114.030,-98.105
143.830,108.940,-97.981
164.220,139.520,-98.860
225.390,126.770,-98.438
317.150,96.190,-98.155
266.170,91.100,-98.173
266.170,108.940,-97.419
184.610,91.100,-98.260
286.560,136.970,-98.507
266.170,134.420,-97.788
296.760,131.870,-98.421
276.370,121.680,-97.465
255.980,98.740,-97.864
306.950,124.230,-97.401
235.580,116.580,-97.879
225.390,98.740,-98.406
184.610,103.840,-98.850
276.370,131.870,-97.819
276.370,114.030,-97.623
276.370,98.740,-98.013
266.170,119.130,-99.302
255.980,121.680,-97.155
296.760,108.940,-98.446
266.170,101.290,-97.601
255.980,131.870,-98.087
225.390,139.520,-97.793
255.980,111.480,-97.503
266.170,124.230,-97.788
245.780,139.520,-96.609
266.170,116.580,-98.604
266.170,129.320,-97.907
266.170,139.520,-98.498
123.440,96.190,-97.588
266.170,114.030,-98.753
266.170,96.190,-97.696
266.170,106.390,-97.460
266.170,121.680,-98.344
306.950,91.100,-97.374
306.950,101.290,-97.569
184.610,121.680,-98.803
143.830,121.680,-97.810
133.630,131.870,-98.144
296.760,98.740,-97.885
286.560,119.130,-97.536
286.560,126.770,-96.988
276.370,106.390,-98.244
296.760,116.580,-97.317
296.760,121.680,-96.625
286.560,116.580,-98.501
276.370,91.100,-98.387
286.560,124.230,-98.850
286.560,139.520,-97.983
286.560,129.320,-96.969
286.560,106.390,-98.449
286.560,134.420,-97.122
306.950,139.520,-97.158
133.630,101.290,-98.661
133.630,91.100,-97.727
306.950,131.870,-98.445
225.390,134.420,-98.456
215.190,111.480,-97.771
276.370,136.970,-98.181
296.760,136.970,-97.197
143.830,134.420,-98.144
194.800,111.480,-96.426
174.410,103.840,-97.401
184.610,131.870,-97.600
194.800,126.770,-97.930
174.410,91.100,-98.392
225.390,111.480,-98.111
154.020,103.840,-98.617
194.800,136.970,-98.526
154.020,91.100,-98.658
194.800,91.100,-98.504
