PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
317.147,91.097,-103.406,-103.588,-101.032,-99.805,-99.468,-99.626,-100.666,-103.505,-101.536,-100.295,-101.345,-100.535,-100.032,-100.672,-100.008,-102.268,-102.920,-101.837,-102.423,-102.853,-102.867,-102.199,-100.078,-102.123,-102.362,-104.123,-100.748,-98.309,-101.960,-101.659,-102.354,-99.356,-101.639,-102.539,-101.208,-99.374,-101.643,-101.101,-101.602,-104.800,-99.057,-100.191,-103.222,-101.847,-103.766,-100.664,-100.879,-101.041,-100.964,-101.832,-101.361,-103.146,-99.538,-101.601,-100.853,-100.573,-102.373,-103.211,-100.179,-101.606,-101.425,-102.702,-102.406,-102.804,-101.769,-101.676,-99.628,-102.120,-101.549,-101.836,-100.791,-100.648,-102.207,-100.691,-99.743,-103.843,-100.573,-100.229,-100.151,-102.402,-99.763,-99.119,-100.710,-102.728,-101.423,-101.518,-101.247,-103.705,-102.209,-100.339,-101.312,-103.376,-100.452,-101.850,-99.529,-100.871,-99.421,-103.589,-102.678,-100.494,-102.752
289.474,91.097,-99.113,-102.254,-100.340,-102.567,-100.278,-98.951,-99.538,-102.505,-102.826,-101.779,-102.445,-99.727,-101.243,-102.570,-104.150,-101.342,-99.330,-99.091,-101.401,-101.296,-101.498,-101.545,-101.682,-100.606,-98.865,-100.832,-100.464,-102.334,-103.256,-104.371,-99.865,-102.204,-100.178,-100.979,-103.434,-103.784,-101.310,-100.692,-101.665,-102.552,-100.699,-98.137,-98.375,-103.851,-102.137,-102.202,-102.035,-99.168,-103.119,-103.925,-101.628,-103.088,-100.057,-102.094,-101.050,-101.728,-102.034,-102.403,-102.307,-99.667,-102.396,-102.091,-102.903,-100.686,-101.365,-103.073,-101.294,-100.252,-105.093,-98.186,-100.046,-103.558,-102.761,-99.677,-102.428,-100.266,-100.967,-100.486,-100.997,-100.888,-102.110,-101.145,-102.738,-103.299,-101.577,-102.096,-103.527,-101.291,-101.267,-103.256,-101.293,-101.365,-99.759,-100.316,-102.635,-100.780,-98.411,-102.797,-98.519,-102.594,-103.009
261.801,91.097,-101.281,-104.214,-100.638,-102.309,-97.997,-102.780,-100.103,-101.807,-99.750,-100.248,-100.590,-102.520,-101.672,-102.553,-101.264,-101.548,-100.958,-99.464,-101.318,-101.716,-101.269,-103.609,-99.107,-100.402,-100.963,-102.279,-103.300,-102.684,-101.381,-101.788,-102.238,-103.261,-101.377,-102.107,-101.367,-102.958,-102.296,-100.353,-101.905,-102.010,-101.734,-102.488,-101.481,-103.399,-102.066,-100.753,-104.909,-102.533,-101.147,-101.791,-100.265,-100.295,-99.048,-101.993,-101.418,-101.480,-102.432,-100.397,-103.019,-99.535,-103.314,-100.923,-101.348,-101.936,-100.288,-99.204,-100.597,-101.299,-104.899,-100.598,-100.272,-103.479,-103.535,-101.661,-100.613,-101.393,-102.818,-103.505,-101.520,-102.317,-101.614,-102.380,-101.968,-99.796,-101.044,-102.824,-100.365,-101.630,-102.736,-100.735,-101.972,-102.618,-102.222,-99.639,-102.205,-101.118,-101.278,-101.194,-101.970,-102.035,-105.022
234.129,91.097,-100.842,-102.058,-100.354,-102.120,-102.975,-101.308,-99.177,-100.215,-100.297,-102.924,-99.862,-102.156,-102.974,-100.708,-101.547,-97.776,-101.303,-101.293,-101.928,-100.209,-99.975,-102.998,-103.069,-106.838,-102.381,-102.073,-100.943,-101.708,-102.326,-100.026,-101.812,-101.427,-102.588,-102.568,-101.603,-100.498,-100.114,-101.447,-103.978,-101.267,-100.556,-103.199,-99.789,-101.462,-100.111,-100.924,-101.704,-102.093,-102.136,-101.802,-98.227,-102.443,-102.578,-101.667,-100.754,-100.294,-99.040,-102.751,-98.748,-100.811,-101.805,-101.388,-101.378,-101.967,-99.937,-99.610,-103.122,-104.116,-100.604,-102.874,-101.808,-101.319,-101.546,-101.508,-102.371,-101.481,-100.187,-101.921,-100.156,-101.195,-101.364,-101.014,-102.579,-101.649,-100.656,-100.731,-99.733,-102.785,-101.999,-102.403,-100.308,-99.349,-102.540,-100.253,-101.742,-104.046,-101.358,-101.781,-101.336,-103.068,-102.366
206.456,91.097,-101.934,-101.940,-99.765,-101.893,-100.977,-100.288,-102.082,-101.039,-101.836,-102.811,-100.744,-100.557,-101.352,-101.934,-100.832,-99.990,-100.738,-100.464,-100.452,-100.856,-102.329,-100.132,-100.841,-102.330,-100.584,-103.346,-104.630,-102.587,-102.577,-100.170,-101.306,-103.096,-100.137,-102.116,-100.539,-103.564,-100.238,-101.123,-99.390,-99.659,-100.640,-100.249,-98.923,-102.524,-103.498,-101.456,-100.890,-101.482,-99.539,-100.645,-101.800,-99.154,-99.822,-101.628,-100.454,-100.141,-102.575,-99.538,-98.952,-103.505,-102.796,-99.690,-101.751,-101.053,-99.153,-100.643,-99.492,-102.335,-102.047,-102.814,-103.704,-101.944,-103.324,-102.743,-100.385,-102.415,-100.974,-103.484,-101.585,-102.918,-102.081,-97.569,-101.033,-100.469,-101.879,-101.434,-101.155,-101.830,-99.596,-101.899,-100.612,-101.510,-99.405,-101.483,-99.577,-101.952,-103.200,-100.281,-100.542,-101.973,-103.022
178.783,91.097,-100.500,-98.893,-102.619,-101.721,-101.270,-104.299,-100.608,-99.883,-101.705,-102.515,-102.845,-102.722,-102.448,-101.620,-101.854,-99.127,-101.414,-100.694,-99.811,-103.152,-101.540,-101.408,-99.390,-99.906,-101.514,-104.046,-101.737,-101.202,-100.554,-101.082,-100.942,-102.052,-101.572,-101.061,-101.249,-100.019,-103.530,-101.383,-102.447,-101.736,-100.064,-103.049,-103.188,-103.874,-100.748,-103.658,-97.943,-100.012,-100.517,-102.584,-103.535,-103.092,-102.691,-101.593,-100.966,-104.153,-103.475,-100.895,-100.637,-101.618,-101.622,-103.057,-102.423,-101.616,-98.195,-99.225,-102.402,-99.823,-102.108,-102.836,-101.754,-101.898,-99.691,-98.102,-99.800,-101.465,-100.442,-101.315,-102.223,-104.082,-100.127,-102.015,-99.810,-103.819,-101.422,-101.507,-101.558,-101.042,-99.252,-102.654,-102.212,-102.274,-101.373,-103.111,-99.812,-100.587,-103.842,-99.546,-104.338,-104.486,-101.031
151.110,91.097,-103.535,-102.743,-101.756,-102.161,-101.384,-100.856,-102.073,-101.084,-99.494,-100.079,-102.502,-105.234,-101.217,-97.966,-103.431,-103.530,-105.090,-102.561,-101.426,-101.574,-98.985,-101.665,-101.126,-101.696,-102.257,-102.867,-100.544,-102.099,-101.820,-100.429,-102.921,-101.889,-100.245,-101.239,-102.554,-102.074,-102.021,-100.964,-101.564,-102.852,-100.947,-100.165,-103.043,-102.961,-99.941,-104.358,-101.489,-101.079,-100.085,-102.765,-102.280,-102.008,-99.837,-102.860,-101.531,-103.252,-97.352,-98.398,-99.790,-100.064,-102.889,-99.750,-104.015,-103.383,-103.116,-101.586,-102.860,-99.342,-100.309,-101.074,-99.603,-101.699,-100.413,-97.769,-101.200,-100.404,-102.749,-100.568,-102.854,-102.026,-102.508,-102.660,-102.368,-100.776,-102.839,-102.250,-102.994,-102.215,-100.420,-103.902,-101.386,-100.158,-100.317,-102.848,-100.387,-102.831,-101.115,-100.170,-104.477,-100.714,-102.904
123.437,91.097,-101.653,-100.316,-101.181,-101.532,-102.454,-101.799,-101.886,-105.448,-102.101,-99.777,-100.841,-100.267,-101.833,-101.166,-101.651,-103.494,-100.897,-102.934,-101.625,-100.609,-100.697,-101.666,-101.902,-101.108,-102.639,-103.902,-103.643,-102.615,-100.858,-102.683,-102.319,-102.781,-100.875,-101.732,-100.584,-103.614,-100.692,-101.100,-101.641,-102.034,-102.557,-102.623,-99.246,-103.951,-103.338,-102.521,-101.473,-101.514,-99.058,-102.003,-101.092,-100.163,-99.487,-103.520,-101.799,-99.448,-100.865,-102.293,-100.398,-102.164,-103.094,-100.120,-99.868,-99.671,-99.504,-101.822,-102.115,-104.010,-102.795,-102.890,-100.834,-103.206,-102.680,-103.412,-101.964,-100.306,-98.297,-101.457,-101.348,-103.045,-100.580,-103.839,-99.807,-103.076,-101.729,-98.264,-102.263,-101.251,-100.478,-101.996,-104.907,-102.685,-102.221,-103.042,-101.061,-101.855,-103.580,-102.773,-100.110,-100.511,-100.275
317.147,98.014,-102.873,-99.525,-100.816,-99.484,-99.087,-100.344,-101.975,-103.399,-101.520,-99.880,-98.195,-102.507,-100.623,-103.212,-99.849,-102.802,-101.652,-101.066,-100.420,-99.786,-101.416,-101.403,-100.910,-102.766,-101.079,-99.704,-102.161,-100.649,-101.458,-99.439,-103.416,-101.007,-101.834,-100.952,-101.878,-100.206,-102.444,-99.958,-100.467,-102.175,-103.110,-102.848,-101.474,-101.426,-100.768,-101.645,-100.253,-102.902,-100.563,-100.332,-102.326,-102.128,-101.601,-101.105,-103.368,-102.074,-102.181,-101.170,-102.107,-102.129,-98.777,-99.349,-101.257,-101.943,-99.822,-99.660,-103.186,-101.430,-101.810,-101.684,-99.008,-100.201,-101.811,-101.334,-102.498,-101.573,-102.605,-101.150,-101.664,-100.388,-99.829,-101.048,-101.508,-99.922,-103.054,-99.404,-100.301,-102.693,-101.879,-100.481,-102.532,-101.996,-101.186,-99.611,-101.496,-102.644,-102.130,-103.900,-101.906,-100.151,-103.143
289.474,98.014,-102.246,-103.009,-101.187,-104.447,-104.062,-102.537,-99.901,-100.793,-100.809,-102.378,-100.191,-101.766,-99.170,-100.693,-103.096,-100.849,-100.535,-103.671,-102.304,-102.443,-102.234,-101.133,-100.230,-100.531,-103.078,-98.688,-99.586,-100.930,-100.878,-98.458,-100.239,-102.972,-103.238,-100.106,-102.905,-101.490,-100.758,-101.225,-100.402,-101.667,-101.433,-105.270,-100.510,-102.781,-99.877,-102.444,-99.349,-101.276,-101.873,-100.460,-102.127,-102.340,-100.339,-104.036,-102.757,-99.910,-105.179,-101.430,-102.401,-101.931,-102.551,-102.386,-103.054,-101.836,-101.255,-97.954,-100.273,-103.207,-102.847,-99.179,-103.116,-99.396,-101.260,-101.860,-103.373,-102.383,-100.516,-102.013,-101.684,-103.386,-101.980,-101.915,-100.303,-100.594,-99.339,-102.961,-101.742,-100.826,-99.849,-101.669,-102.932,-100.478,-99.996,-102.102,-101.196,-102.711,-99.855,-98.205,-102.002,-102.394,-102.736
