PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
123.437,91.097,-99.619,-101.585,-101.561,-102.902,-101.417,-98.771,-98.429,-99.668,-102.215,-103.833,-101.106,-100.592,-102.772,-100.269,-104.908,-99.037,-100.936,-99.389,-102.723,-100.775,-103.379,-98.396,-100.583,-100.282,-102.842,-101.944,-101.605,-101.586,-99.977,-99.306,-100.238,-102.205,-102.178,-101.451,-99.996,-102.774,-101.836,-102.018,-101.973,-101.683,-104.507,-100.587,-102.073,-101.409,-99.794,-102.363,-102.879,-101.010,-102.348,-99.289,-102.766,-103.685,-102.892,-101.572,-102.085,-99.817,-100.134,-101.039,-104.147,-100.604,-100.749,-100.856,-102.917,-100.753,-101.399,-99.276,-99.116,-102.341,-100.747,-99.524,-99.594,-98.125,-100.728,-100.107,-103.259,-100.764,-100.075,-102.726,-103.601,-99.698,-102.985,-101.544,-102.956,-102.162,-99.039,-100.236,-101.922,-101.842,-102.187,-100.314,-103.053,-102.604,-101.133,-102.151,-103.261,-103.021,-101.409,-101.971,-104.305,-101.722,-103.401
206.456,91.097,-98.699,-104.053,-101.872,-101.076,-102.242,-101.641,-103.687,-102.784,-102.628,-98.403,-102.707,-101.312,-102.971,-103.670,-102.493,-99.073,-100.688,-101.524,-103.611,-100.775,-103.068,-101.727,-102.644,-100.169,-99.635,-100.629,-101.800,-103.591,-99.352,-101.288,-101.602,-103.493,-102.795,-98.911,-101.858,-100.533,-102.761,-100.121,-102.446,-102.762,-100.075,-100.858,-100.408,-103.974,-102.262,-100.194,-99.056,-102.381,-101.037,-100.778,-99.976,-101.083,-101.290,-101.451,-103.530,-100.750,-103.037,-98.726,-102.301,-99.915,-102.198,-101.432,-101.182,-99.937,-97.710,-102.329,-100.001,-102.045,-100.521,-102.349,-98.626,-101.099,-100.734,-100.765,-103.541,-103.048,-101.492,-101.559,-100.807,-100.128,-101.841,-103.670,-101.661,-104.300,-99.984,-102.453,-101.319,-101.509,-102.918,-102.906,-103.745,-104.429,-99.993,-101.798,-100.057,-101.753,-101.369,-100.683,-100.027,-101.803,-103.238
289.474,91.097,-100.673,-100.831,-100.379,-102.638,-103.374,-102.916,-101.519,-102.914,-104.135,-102.819,-104.082,-99.941,-100.583,-102.626,-103.146,-103.082,-103.867,-102.973,-102.340,-100.981,-101.515,-101.621,-103.325,-104.994,-100.756,-100.241,-101.800,-101.429,-101.908,-101.905,-100.885,-103.318,-104.625,-102.542,-101.107,-102.052,-99.993,-102.869,-103.353,-101.613,-98.865,-101.953,-103.003,-100.350,-101.547,-100.101,-100.027,-101.800,-101.295,-101.732,-102.994,-102.356,-102.135,-104.508,-102.057,-103.918,-102.598,-100.224,-100.758,-101.626,-100.260,-102.096,-101.180,-100.829,-103.340,-101.752,-101.891,-101.346,-99.163,-99.093,-102.182,-101.537,-101.166,-100.558,-101.390,-102.406,-100.489,-103.389,-101.612,-101.584,-100.858,-101.429,-102.065,-102.878,-102.143,-103.122,-101.807,-103.231,-102.775,-101.287,-99.900,-101.685,-99.682,-102.637,-98.532,-103.030,-101.651,-98.149,-100.128,-100.031,-101.673
123.437,139.517,-101.644,-101.326,-100.981,-104.228,-101.951,-100.390,-101.017,-103.078,-101.666,-102.641,-101.636,-101.161,-96.942,-102.776,-102.356,-99.242,-101.900,-102.972,-100.407,-101.074,-100.099,-101.989,-101.399,-103.126,-101.597,-101.841,-99.366,-101.143,-100.807,-100.568,-103.053,-102.658,-101.488,-102.025,-100.610,-101.460,-102.650,-101.160,-102.138,-102.750,-104.180,-103.969,-101.233,-103.533,-101.525,-101.985,-103.253,-102.865,-100.913,-103.413,-101.467,-102.411,-102.673,-102.369,-101.405,-102.636,-102.342,-103.007,-102.216,-103.711,-102.805,-103.102,-102.930,-100.520,-102.273,-101.794,-101.620,-99.502,-99.504,-101.971,-100.745,-101.902,-102.980,-101.855,-100.141,-102.886,-103.419,-99.248,-102.164,-100.563,-100.024,-101.682,-100.722,-100.293,-99.576,-101.524,-101.703,-100.557,-102.475,-100.774,-104.618,-103.726,-101.366,-97.912,-103.230,-102.179,-103.604,-103.494,-104.562,-102.789,-100.092
206.456,139.517,-102.969,-102.888,-103.042,-101.521,-102.520,-99.659,-101.937,-102.531,-102.757,-100.424,-103.784,-100.639,-103.097,-101.771,-100.846,-103.173,-101.629,-100.564,-102.315,-100.984,-101.099,-102.555,-99.840,-101.712,-103.045,-101.808,-101.018,-98.672,-103.599,-100.750,-102.439,-99.231,-101.221,-101.553,-99.180,-97.772,-103.159,-103.539,-101.652,-101.687,-102.587,-101.098,-103.351,-104.733,-103.371,-101.316,-100.838,-101.533,-100.868,-101.723,-100.518,-101.944,-101.327,-100.031,-102.976,-100.861,-102.351,-102.629,-101.914,-101.225,-102.362,-101.702,-96.716,-99.442,-100.762,-101.198,-100.925,-100.930,-101.976,-102.826,-101.068,-100.846,-101.053,-100.808,-102.157,-98.623,-103.917,-97.757,-101.900,-104.116,-102.565,-101.382,-100.723,-101.976,-101.157,-101.643,-102.223,-103.832,-101.435,-104.126,-102.247,-102.294,-102.999,-100.082,-100.632,-101.030,-102.019,-104.166,-104.030,-102.937,-101.240
289.474,139.517,-101.838,-102.027,-100.593,-102.015,-101.807,-100.802,-102.944,-101.656,-102.239,-102.165,-101.691,-103.218,-102.882,-100.017,-100.388,-103.398,-99.600,-99.563,-101.220,-100.606,-102.431,-98.824,-100.820,-103.238,-97.932,-102.673,-103.137,-102.362,-100.818,-101.172,-102.995,-101.669,-101.463,-100.965,-99.021,-103.663,-101.710,-105.745,-102.289,-103.324,-102.108,-100.971,-102.512,-103.277,-102.503,-101.075,-98.501,-102.456,-100.483,-100.355,-100.402,-103.016,-100.837,-100.301,-100.719,-101.295,-100.788,-100.972,-102.856,-102.354,-99.351,-102.198,-101.186,-100.975,-101.251,-100.884,-103.656,-102.331,-102.275,-102.151,-98.764,-103.162,-101.385,-101.760,-99.224,-102.069,-101.770,-101.989,-102.710,-101.765,-102.736,-100.397,-102.754,-100.557,-101.723,-101.862,-100.143,-99.412,-101.584,-100.478,-104.832,-101.013,-102.444,-101.762,-99.364,-98.882,-99.076,-101.246,-104.095,-101.993,-103.076
317.150,91.100,-102.093,-100.598,-100.684,-100.521,-101.609,-100.864,-100.859,-99.768,-100.815,-102.191,-99.991,-104.496,-102.088,-101.955,-99.816,-103.181,-103.868,-102.979,-103.208,-100.451,-102.268,-102.534,-103.910,-98.208,-104.678,-103.478,-102.658,-100.522,-100.781,-103.303,-99.668,-101.523,-100.238,-101.113,-103.804,-101.328,-100.604,-102.282,-100.646,-101.498,-101.636,-101.470,-99.249,-101.614,-101.905,-99.201,-101.483,-100.280,-101.151,-100.510,-99.768,-102.351,-101.530,-102.176,-104.150,-103.065,-101.220,-102.043,-102.000,-100.128,-101.854,-101.437,-100.156,-101.681,-101.740,-101.515,-100.793,-100.643,-100.513,-101.757,-101.258,-102.710,-99.533,-102.348,-101.868,-100.547,-102.620,-100.051,-103.193,-100.400,-99.378,-100.886,-101.659,-103.781,-103.633,-100.906,-100.996,-104.797,-100.615,-101.595,-101.735,-101.290,-102.483,-103.162,-102.207,-99.726,-100.239,-102.322,-102.272,-102.586,-101.141
317.150,118.770,-100.298,-100.222,-101.202,-98.427,-100.201,-100.508,-103.681,-99.074,-102.077,-100.179,-101.915,-103.745,-100.659,-101.634,-100.210,-100.803,-99.116,-101.301,-101.731,-102.947,-102.307,-104.196,-103.802,-100.420,-101.822,-101.644,-101.932,-100.694,-99.927,-100.410,-101.535,-101.660,-103.622,-103.452,-101.676,-101.901,-99.736,-103.948,-101.881,-101.837,-99.987,-101.300,-101.574,-100.618,-102.565,-102.322,-102.784,-101.571,-101.998,-99.006,-101.470,-99.396,-101.364,-101.958,-101.876,-101.444,-105.297,-100.220,-99.213,-98.853,-104.724,-98.905,-99.380,-100.755,-102.470,-100.508,-103.129,-102.415,-99.854,-99.951,-102.791,-102.507,-102.211,-101.615,-102.495,-100.431,-101.144,-100.873,-102.244,-98.348,-99.818,-101.274,-102.212,-102.522,-102.754,-102.380,-100.335,-103.878,-103.609,-102.881,-100.410,-100.961,-101.456,-102.845,-102.441,-99.928,-102.437,-103.686,-102.265,-100.038,-100.944
151.110,139.520,-102.339,-100.610,-101.443,-99.547,-99.025,-101.034,-100.182,-99.838,-101.401,-101.014,-100.738,-105.342,-102.328,-98.953,-103.257,-99.403,-100.315,-99.748,-103.640,-101.384,-100.904,-99.370,-100.054,-101.293,-100.237,-100.994,-103.672,-104.073,-102.216,-104.029,-103.448,-99.513,-100.048,-101.159,-100.759,-100.686,-101.972,-99.798,-102.083,-103.964,-101.551,-101.658,-99.199,-100.214,-98.036,-99.353,-102.282,-101.703,-102.093,-101.204,-101.755,-100.397,-101.042,-102.604,-100.657,-102.557,-104.047,-100.857,-103.797,-102.606,-99.906,-102.073,-103.268,-103.022,-102.870,-103.424,-100.877,-99.749,-101.775,-101.096,-104.196,-100.145,-103.488,-99.511,-102.693,-102.850,-102.111,-99.611,-100.970,-100.789,-101.557,-101.837,-101.151,-101.136,-102.852,-103.514,-102.084,-100.577,-101.668,-101.921,-99.977,-103.515,-104.475,-99.073,-102.144,-102.146,-100.848,-100.476,-99.533,-100.614,-101.501
123.440,125.680,-100.674,-102.973,-100.240,-104.624,-101.962,-99.514,-100.732,-101.039,-101.681,-101.247,-101.316,-103.434,-100.739,-103.709,-105.154,-101.014,-100.589,-100.526,-103.600,-100.291,-104.704,-102.239,-100.933,-102.526,-102.547,-101.575,-102.024,-101.831,-102.180,-102.093,-104.386,-105.234,-101.352,-101.909,-100.779,-102.011,-101.014,-101.143,-100.749,-103.600,-100.321,-102.084,-100.586,-101.347,-99.363,-99.382,-100.425,-101.824,-99.986,-102.854,-100.989,-100.348,-102.360,-100.222,-102.242,-100.764,-102.512,-101.321,-103.967,-99.038,-103.166,-102.094,-104.465,-101.805,-99.938,-100.234,-101.115,-101.602,-102.833,-101.637,-102.214,-97.596,-96.571,-102.687,-101.478,-100.539,-102.804,-102.862,-101.121,-102.060,-100.797,-101.849,-102.664,-99.465,-99.743,-102.145,-101.484,-101.686,-101.499,-100.118,-100.921,-100.864,-102.583,-99.804,-100.742,-99.898,-102.267,-101.841,-103.168,-101.131,-101.942
