PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
143.445,-193.652,-96.753
158.876,-193.652,-94.901
174.307,-193.652,-96.968
189.739,-193.652,-96.122
205.170,-193.652,-95.761
220.601,-193.652,-96.060
236.033,-193.652,-97.717
251.464,-193.652,-96.288
266.895,-193.652,-95.884
282.327,-193.652,-95.170
143.445,-186.705,-96.890
158.876,-186.705,-96.654
174.307,-186.705,-96.095
189.739,-186.705,-96.607
205.170,-186.705,-96.116
220.601,-186.705,-95.900
236.033,-186.705,-95.438
251.464,-186.705,-96.769
266.895,-186.705,-95.297
282.327,-186.705,-94.971
143.445,-179.758,-95.660
158.876,-179.758,-95.218
174.307,-179.758,-96.261
189.739,-179.758,-96.589
205.170,-179.758,-94.194
220.601,-179.758,-96.045
236.033,-179.758,-97.390
251.464,-179.758,-95.875
266.895,-179.758,-96.661
282.327,-179.758,-97.056
143.445,-172.811,-96.722
158.876,-172.811,-95.967
174.307,-172.811,-96.998
189.739,-172.811,-96.350
205.170,-172.811,-95.686
220.601,-172.811,-95.806
236.033,-172.811,-95.013
251.464,-172.811,-94.934
266.895,-172.811,-96.845
282.327,-172.811,-96.636
143.445,-165.864,-96.973
158.876,-165.864,-94.986
174.307,-165.864,-95.641
189.739,-165.864,-95.498
205.170,-165.864,-97.021
220.601,-165.864,-96.358
236.033,-165.864,-96.363
251.464,-165.864,-97.055
266.895,-165.864,-94.828
282.327,-165.864,-96.948
143.445,-158.917,-97.062
158.876,-158.917,-96.858
174.307,-158.917,-95.332
189.739,-158.917,-97.511
205.170,-158.917,-96.456
220.601,-158.917,-95.407
236.033,-158.917,-96.086
251.464,-158.917,-95.826
266.895,-158.917,-95.106
282.327,-158.917,-96.586
143.445,-151.970,-96.421
158.876,-151.970,-95.892
174.307,-151.970,-95.817
189.739,-151.970,-94.796
205.170,-151.970,-96.289
220.601,-151.970,-96.496
236.033,-151.970,-96.899
251.464,-151.970,-96.445
266.895,-151.970,-94.909
282.327,-151.970,-94.831
143.445,-145.023,-96.042
158.876,-145.023,-95.373
174.307,-145.023,-95.989
189.739,-145.023,-96.144
205.170,-145.023,-97.123
220.601,-145.023,-96.708
236.033,-145.023,-97.397
251.464,-145.023,-95.886
266.895,-145.023,-96.433
282.327,-145.023,-95.145
143.445,-138.076,-95.152
158.876,-138.076,-96.274
174.307,-138.076,-96.814
189.739,-138.076,-96.838
205.170,-138.076,-96.743
220.601,-138.076,-95.741
236.033,-138.076,-96.271
251.464,-138.076,-96.570
266.895,-138.076,-95.920
282.327,-138.076,-95.947
143.445,-131.129,-98.000
158.876,-131.129,-93.774
174.307,-131.129,-95.878
189.739,-131.129,-95.284
205.170,-131.129,-96.240
220.601,-131.129,-97.483
236.033,-131.129,-95.920
251.464,-131.129,-97.149
266.895,-131.129,-97.349
282.327,-131.129,-96.291
