PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-97.395
144.960,91.097,-97.809
166.484,91.097,-97.508
188.007,91.097,-97.978
209.530,91.097,-97.493
231.054,91.097,-96.130
252.577,91.097,-97.645
274.100,91.097,-97.801
295.624,91.097,-95.959
317.147,91.097,-98.787
123.437,96.477,-97.113
144.960,96.477,-97.726
166.484,96.477,-97.127
188.007,96.477,-96.645
209.530,96.477,-97.094
231.054,96.477,-96.999
252.577,96.477,-97.833
274.100,96.477,-97.395
295.624,96.477,-97.201
317.147,96.477,-98.128
123.437,101.857,-96.186
144.960,101.857,-97.811
166.484,101.857,-98.281
188.007,101.857,-98.239
209.530,101.857,-97.168
231.054,101.857,-95.525
252.577,101.857,-97.127
274.100,101.857,-96.437
295.624,101.857,-97.024
317.147,101.857,-98.086
123.437,107.237,-96.682
144.960,107.237,-98.151
166.484,107.237,-97.023
188.007,107.237,-97.942
209.530,107.237,-97.537
231.054,107.237,-97.048
252.577,107.237,-98.336
274.100,107.237,-96.997
295.624,107.237,-97.309
317.147,107.237,-96.856
123.437,112.617,-97.793
144.960,112.617,-97.873
166.484,112.617,-97.077
188.007,112.617,-97.403
209.530,112.617,-96.044
231.054,112.617,-95.938
252.577,112.617,-97.034
274.100,112.617,-96.786
295.624,112.617,-96.594
317.147,112.617,-98.189
123.437,117.997,-97.247
144.960,117.997,-98.183
166.484,117.997,-95.660
188.007,117.997,-97.394
209.530,117.997,-96.919
231.054,117.997,-97.871
252.577,117.997,-98.333
274.100,117.997,-97.645
295.624,117.997,-97.701
317.147,117.997,-97.528
123.437,123.377,-97.360
144.960,123.377,-97.763
166.484,123.377,-96.900
188.007,123.377,-96.414
209.530,123.377,-97.468
231.054,123.377,-97.219
252.577,123.377,-98.141
274.100,123.377,-97.789
295.624,123.377,-97.551
317.147,123.377,-97.097
123.437,128.757,-96.714
144.960,128.757,-97.399
166.484,128.757,-98.041
188.007,128.757,-97.757
209.530,128.757,-96.615
231.054,128.757,-97.410
252.577,128.757,-97.820
274.100,128.757,-96.572
295.624,128.757,-96.878
317.147,128.757,-97.609
123.437,134.137,-98.020
144.960,134.137,-97.400
166.484,134.137,-97.218
188.007,134.137,-97.069
209.530,134.137,-98.085
231.054,134.137,-97.920
252.577,134.137,-97.508
274.100,134.137,-97.663
295.624,134.137,-97.689
317.147,134.137,-96.397
123.437,139.517,-96.309
144.960,139.517,-97.852
166.484,139.517,-98.053
188.007,139.517,-96.711
209.530,139.517,-96.345
231.054,139.517,-97.436
252.577,139.517,-96.090
274.100,139.517,-97.583
295.624,139.517,-98.012
317.147,139.517,-97.065
