PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
317.147,91.097,-97.631
295.624,91.097,-96.148
274.100,91.097,-97.404
252.577,91.097,-97.250
231.054,91.097,-97.681
209.530,91.097,-96.248
188.007,91.097,-96.451
166.484,91.097,-96.995
144.960,91.097,-96.962
123.437,91.097,-97.010
317.147,96.477,-96.780
295.624,96.477,-96.929
274.100,96.477,-97.234
252.577,96.477,-96.691
231.054,96.477,-97.157
209.530,96.477,-97.176
188.007,96.477,-96.550
166.484,96.477,-96.867
144.960,96.477,-97.073
123.437,96.477,-97.838
317.147,101.857,-98.190
295.624,101.857,-98.171
274.100,101.857,-97.880
252.577,101.857,-96.396
231.054,101.857,-98.231
209.530,101.857,-96.650
188.007,101.857,-97.001
166.484,101.857,-97.133
144.960,101.857,-96.533
123.437,101.857,-97.378
317.147,107.237,-97.149
295.624,107.237,-97.489
274.100,107.237,-97.814
252.577,107.237,-97.317
231.054,107.237,-97.758
209.530,107.237,-96.675
188.007,107.237,-97.964
166.484,107.237,-97.052
144.960,107.237,-96.815
123.437,107.237,-98.006
317.147,112.617,-97.959
295.624,112.617,-97.955
274.100,112.617,-96.734
252.577,112.617,-97.151
231.054,112.617,-97.415
209.530,112.617,-97.058
188.007,112.617,-98.023
166.484,112.617,-98.107
144.960,112.617,-97.558
123.437,112.617,-97.729
317.147,117.997,-97.035
295.624,117.997,-96.983
274.100,117.997,-97.016
252.577,117.997,-97.798
231.054,117.997,-98.017
209.530,117.997,-97.419
188.007,117.997,-97.989
166.484,117.997,-96.927
144.960,117.997,-97.183
123.437,117.997,-96.930
317.147,123.377,-97.334
295.624,123.377,-97.795
274.100,123.377,-96.594
252.577,123.377,-96.633
231.054,123.377,-97.858
209.530,123.377,-97.417
188.007,123.377,-97.057
166.484,123.377,-98.347
144.960,123.377,-96.992
123.437,123.377,-97.150
317.147,128.757,-97.530
295.624,128.757,-97.612
274.100,128.757,-96.806
252.577,128.757,-96.910
231.054,128.757,-96.938
209.530,128.757,-97.279
188.007,128.757,-97.452
166.484,128.757,-97.111
144.960,128.757,-97.597
123.437,128.757,-97.238
317.147,134.137,-95.775
295.624,134.137,-96.863
274.100,134.137,-97.925
252.577,134.137,-97.087
231.054,134.137,-97.514
209.530,134.137,-96.448
188.007,134.137,-97.615
166.484,134.137,-97.796
144.960,134.137,-97.577
123.437,134.137,-97.605
317.147,139.517,-98.105
295.624,139.517,-96.817
274.100,139.517,-97.466
252.577,139.517,-97.490
231.054,139.517,-97.296
209.530,139.517,-96.943
188.007,139.517,-97.426
166.484,139.517,-96.937
144.960,139.517,-96.766
123.437,139.517,-97.480
