PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
317.147,91.097,-97.250
295.624,91.097,-97.900
274.100,91.097,-97.499
252.577,91.097,-97.063
231.054,91.097,-97.705
209.530,91.097,-97.407
188.007,91.097,-96.459
166.484,91.097,-97.415
144.960,91.097,-97.725
123.437,91.097,-97.410
317.147,96.477,-97.030
295.624,96.477,-95.926
274.100,96.477,-97.653
252.577,96.477,-97.415
231.054,96.477,-97.166
209.530,96.477,-96.889
188.007,96.477,-98.673
166.484,96.477,-96.913
144.960,96.477,-97.606
123.437,96.477,-96.847
317.147,101.857,-96.445
295.624,101.857,-97.532
274.100,101.857,-97.550
252.577,101.857,-97.584
231.054,101.857,-95.890
209.530,101.857,-96.406
188.007,101.857,-96.896
166.484,101.857,-97.501
144.960,101.857,-97.575
123.437,101.857,-97.646
317.147,107.237,-97.321
295.624,107.237,-97.440
274.100,107.237,-97.420
252.577,107.237,-97.846
231.054,107.237,-97.336
209.530,107.237,-97.129
188.007,107.237,-98.091
166.484,107.237,-96.984
144.960,107.237,-96.551
123.437,107.237,-97.839
317.147,112.617,-97.094
295.624,112.617,-96.717
274.100,112.617,-97.313
252.577,112.617,-97.279
231.054,112.617,-97.082
209.530,112.617,-97.418
188.007,112.617,-96.510
166.484,112.617,-97.260
144.960,112.617,-97.555
123.437,112.617,-96.113
317.147,117.997,-97.867
295.624,117.997,-97.528
274.100,117.997,-97.881
252.577,117.997,-97.679
231.054,117.997,-97.561
209.530,117.997,-96.613
188.007,117.997,-98.183
166.484,117.997,-97.691
144.960,117.997,-97.183
123.437,117.997,-97.912
317.147,123.377,-97.472
295.624,123.377,-97.893
274.100,123.377,-97.786
252.577,123.377,-98.207
231.054,123.377,-96.916
209.530,123.377,-95.481
188.007,123.377,-97.395
166.484,123.377,-97.590
144.960,123.377,-95.665
123.437,123.377,-97.134
317.147,128.757,-96.958
295.624,128.757,-97.161
274.100,128.757,-97.740
252.577,128.757,-98.637
231.054,128.757,-97.178
209.530,128.757,-97.343
188.007,128.757,-97.145
166.484,128.757,-97.481
144.960,128.757,-97.494
123.437,128.757,-97.697
317.147,134.137,-97.392
295.624,134.137,-96.907
274.100,134.137,-97.601
252.577,134.137,-97.713
231.054,134.137,-97.938
209.530,134.137,-98.143
188.007,134.137,-97.402
166.484,134.137,-97.472
144.960,134.137,-98.025
123.437,134.137,-95.768
317.147,139.517,-96.910
295.624,139.517,-97.643
274.100,139.517,-97.237
252.577,139.517,-97.184
231.054,139.517,-97.474
209.530,139.517,-96.900
188.007,139.517,-97.761
166.484,139.517,-97.552
144.960,139.517,-96.649
123.437,139.517,-97.455
