PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-98.125
151.110,91.097,-98.217
178.783,91.097,-98.552
206.456,91.097,-97.710
234.129,91.097,-98.553
261.801,91.097,-97.298
289.474,91.097,-98.149
317.147,91.097,-98.210
123.437,98.014,-98.981
151.110,98.014,-97.739
178.783,98.014,-98.229
206.456,98.014,-97.278
234.129,98.014,-98.414
261.801,98.014,-96.614
289.474,98.014,-96.996
317.147,98.014,-97.017
123.437,104.931,-98.908
151.110,104.931,-97.672
178.783,104.931,-98.410
206.456,104.931,-97.789
234.129,104.931,-98.931
261.801,104.931,-97.538
289.474,104.931,-97.804
317.147,104.931,-98.268
123.437,111.848,-97.924
151.110,111.848,-98.186
178.783,111.848,-98.277
206.456,111.848,-97.975
234.129,111.848,-98.669
261.801,111.848,-98.099
289.474,111.848,-98.371
317.147,111.848,-99.028
123.437,118.766,-96.885
151.110,118.766,-98.602
178.783,118.766,-98.051
206.456,118.766,-97.764
234.129,118.766,-97.531
261.801,118.766,-98.006
289.474,118.766,-98.492
317.147,118.766,-98.350
123.437,125.683,-96.571
151.110,125.683,-98.474
178.783,125.683,-98.242
206.456,125.683,-97.590
234.129,125.683,-96.937
261.801,125.683,-97.825
289.474,125.683,-98.386
317.147,125.683,-96.506
123.437,132.600,-97.163
151.110,132.600,-98.563
178.783,132.600,-98.804
206.456,132.600,-97.482
234.129,132.600,-98.144
261.801,132.600,-97.897
289.474,132.600,-98.418
317.147,132.600,-95.672
123.437,139.517,-96.942
151.110,139.517,-98.037
178.783,139.517,-98.502
206.456,139.517,-96.716
234.129,139.517,-98.479
261.801,139.517,-97.872
289.474,139.517,-97.932
317.147,139.517,-97.943
