PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-98.014
151.110,91.097,-97.020
178.783,91.097,-97.813
206.456,91.097,-97.925
234.129,91.097,-98.251
261.801,91.097,-96.740
289.474,91.097,-96.612
317.147,91.097,-97.964
123.437,98.014,-98.055
151.110,98.014,-97.003
178.783,98.014,-97.525
206.456,98.014,-97.966
234.129,98.014,-97.769
261.801,98.014,-96.674
289.474,98.014,-96.478
317.147,98.014,-97.208
123.437,104.931,-97.212
151.110,104.931,-97.070
178.783,104.931,-98.983
206.456,104.931,-96.689
234.129,104.931,-97.690
261.801,104.931,-97.434
289.474,104.931,-97.318
317.147,104.931,-97.653
123.437,111.848,-96.613
151.110,111.848,-96.982
178.783,111.848,-98.496
206.456,111.848,-97.117
234.129,111.848,-97.297
261.801,111.848,-97.769
289.474,111.848,-97.765
317.147,111.848,-97.739
123.437,118.766,-96.601
151.110,118.766,-97.046
178.783,118.766,-97.512
206.456,118.766,-97.707
234.129,118.766,-96.676
261.801,118.766,-97.513
289.474,118.766,-97.639
317.147,118.766,-97.233
123.437,125.683,-97.289
151.110,125.683,-97.542
178.783,125.683,-97.725
206.456,125.683,-97.248
234.129,125.683,-96.289
261.801,125.683,-96.859
289.474,125.683,-97.386
317.147,125.683,-96.797
123.437,132.600,-97.975
151.110,132.600,-98.111
178.783,132.600,-98.276
206.456,132.600,-97.965
234.129,132.600,-96.559
261.801,132.600,-96.526
289.474,132.600,-97.501
317.147,132.600,-97.025
123.437,139.517,-96.475
151.110,139.517,-96.870
178.783,139.517,-97.687
206.456,139.517,-98.421
234.129,139.517,-97.175
261.801,139.517,-96.428
289.474,139.517,-97.886
317.147,139.517,-98.277
