PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
123.437,91.097,-99.985,-100.946,-101.224,-104.109,-99.260,-104.418,-104.670,-102.397,-100.365,-103.182,-103.455,-103.927,-102.888,-101.715,-102.182,-98.489,-101.435,-102.947,-99.360,-103.106,-100.977,-100.886,-101.242,-100.867,-99.927,-99.322,-102.539,-101.218,-99.771,-102.913,-102.041,-103.396,-102.528,-99.758,-99.623,-103.252,-101.091,-101.928,-103.482,-101.365,-100.347,-101.070,-102.678,-101.165,-99.925,-100.456,-101.195,-104.904,-103.049,-99.321,-101.870,-99.983,-103.938,-102.217,-102.139,-101.730,-101.231,-101.939,-100.915,-102.355,-99.184,-102.250,-101.326,-100.867,-100.621,-101.646,-102.076,-102.992,-100.397,-100.310,-102.030,-101.852,-100.838,-101.085,-101.438,-103.167,-99.862,-103.956,-102.182,-101.247,-103.083,-102.326,-100.896,-100.598,-102.058,-101.350,-103.619,-101.986,-101.020,-103.432,-102.281,-100.546,-104.288,-101.540,-104.091,-102.598,-100.229,-102.571,-99.762,-100.484,-101.690
144.960,91.097,-97.672,-102.733,-102.928,-101.081,-100.792,-99.865,-103.847,-101.429,-100.038,-104.296,-102.851,-100.947,-99.250,-101.122,-101.444,-100.563,-102.207,-102.757,-101.808,-102.448,-101.165,-102.900,-103.965,-101.218,-102.796,-102.241,-101.649,-100.434,-101.344,-103.082,-100.752,-103.494,-101.108,-100.846,-97.150,-101.564,-101.877,-100.979,-99.535,-104.411,-102.008,-100.461,-100.298,-102.145,-101.274,-102.204,-103.030,-101.771,-99.692,-103.908,-100.196,-100.926,-101.552,-102.021,-102.475,-102.873,-101.488,-97.617,-98.540,-101.447,-102.606,-101.959,-100.351,-102.315,-100.215,-102.060,-100.828,-103.866,-100.405,-100.042,-102.765,-102.799,-101.813,-99.255,-100.096,-102.529,-100.505,-101.844,-100.510,-99.508,-101.979,-100.877,-100.743,-101.586,-103.022,-100.935,-100.237,-101.151,-98.786,-101.302,-101.716,-100.365,-99.975,-99.612,-100.136,-102.511,-98.596,-97.401,-101.865,-99.884,-101.754
166.484,91.097,-100.485,-103.241,-101.477,-101.534,-99.979,-101.602,-100.759,-100.112,-101.579,-99.854,-100.654,-100.626,-100.177,-100.300,-100.313,-100.750,-99.657,-101.176,-99.900,-99.859,-101.245,-101.386,-100.750,-103.509,-99.811,-101.252,-100.184,-100.407,-101.246,-99.835,-101.771,-103.526,-103.381,-103.311,-101.392,-101.200,-102.151,-102.804,-99.794,-101.812,-105.342,-101.213,-100.628,-103.279,-102.154,-99.142,-102.135,-98.073,-101.377,-100.912,-99.096,-98.978,-103.204,-102.067,-100.820,-101.872,-99.096,-101.818,-101.819,-101.892,-100.945,-98.874,-102.176,-98.086,-99.376,-101.863,-101.129,-102.258,-103.568,-100.468,-101.888,-100.046,-102.859,-100.615,-103.249,-100.595,-102.112,-103.400,-103.681,-102.457,-102.624,-100.884,-98.128,-101.678,-101.094,-100.126,-100.125,-99.738,-103.187,-101.856,-103.452,-102.140,-101.994,-101.265,-100.761,-102.878,-102.170,-102.388,-101.357,-102.643,-100.492
188.007,91.097,-101.368,-101.840,-100.971,-100.010,-99.823,-103.452,-100.625,-100.461,-102.174,-103.339,-100.980,-103.141,-101.878,-103.185,-102.757,-102.192,-102.165,-101.234,-103.051,-103.593,-101.084,-102.254,-101.645,-102.670,-103.546,-100.152,-102.554,-100.858,-102.367,-101.977,-100.138,-102.531,-100.999,-101.719,-103.756,-99.349,-101.363,-101.708,-101.645,-103.383,-100.208,-100.517,-100.362,-101.390,-103.214,-103.548,-100.548,-100.196,-99.349,-100.490,-102.402,-101.228,-100.988,-101.695,-102.768,-102.075,-101.842,-104.072,-100.474,-102.638,-102.774,-101.473,-101.452,-102.194,-102.625,-99.573,-102.424,-99.514,-99.433,-101.141,-100.515,-100.590,-102.833,-103.678,-101.243,-103.204,-102.057,-102.621,-100.622,-97.480,-103.650,-103.615,-102.074,-100.462,-103.191,-102.813,-103.212,-100.949,-103.857,-102.974,-100.780,-102.590,-100.716,-101.575,-100.789,-100.593,-101.995,-100.377,-100.347,-100.827,-102.213
209.530,91.097,-100.903,-101.110,-101.263,-103.668,-99.397,-101.217,-102.759,-102.103,-101.379,-102.077,-102.506,-98.526,-100.336,-100.947,-99.971,-99.968,-101.266,-99.739,-101.607,-102.891,-101.341,-102.591,-104.640,-103.808,-101.689,-102.410,-102.253,-98.347,-101.899,-101.693,-102.189,-101.825,-102.763,-103.456,-101.290,-102.753,-102.222,-101.876,-102.197,-100.329,-102.404,-100.567,-103.252,-100.615,-100.824,-101.494,-102.055,-102.298,-102.650,-98.804,-102.637,-103.302,-100.733,-103.781,-102.875,-103.801,-101.426,-100.024,-99.738,-103.442,-100.712,-103.225,-103.216,-101.326,-101.365,-103.755,-102.229,-103.021,-102.081,-99.757,-104.152,-102.279,-101.687,-100.408,-98.927,-102.515,-100.601,-100.159,-100.603,-101.135,-99.548,-102.708,-101.745,-102.628,-101.591,-101.385,-100.131,-102.674,-100.587,-103.210,-101.100,-105.332,-102.522,-103.624,-103.633,-99.901,-102.803,-101.496,-99.877,-101.755,-103.866
231.054,91.097,-99.953,-100.561,-101.160,-101.085,-99.577,-102.696,-101.289,-99.674,-99.749,-100.113,-99.361,-102.822,-102.776,-101.447,-100.528,-101.668,-103.037,-102.579,-103.694,-100.680,-99.424,-101.195,-102.368,-102.281,-100.814,-100.886,-101.769,-103.846,-100.652,-101.922,-103.611,-101.959,-98.838,-101.992,-99.331,-101.232,-99.379,-102.790,-101.797,-103.072,-102.020,-104.602,-101.826,-102.161,-99.900,-100.419,-103.788,-102.850,-100.335,-99.643,-99.909,-100.587,-100.906,-105.355,-102.544,-99.260,-99.711,-102.088,-100.849,-102.658,-100.264,-101.691,-101.642,-102.222,-101.726,-102.808,-101.610,-102.777,-100.482,-101.314,-103.210,-101.868,-99.755,-101.279,-103.655,-102.309,-102.468,-99.328,-101.627,-103.367,-100.377,-99.935,-102.419,-101.368,-102.234,-102.946,-104.892,-103.474,-99.832,-99.362,-99.856,-102.478,-101.837,-100.767,-101.911,-103.787,-100.238,-101.597,-98.824,-98.774,-101.686
252.577,91.097,-102.188,-104.496,-102.346,-101.454,-102.352,-100.587,-97.728,-97.885,-102.400,-101.957,-101.434,-101.416,-102.839,-103.484,-101.587,-101.643,-102.362,-99.880,-100.763,-99.964,-103.097,-100.669,-100.190,-101.083,-101.892,-101.647,-101.578,-103.603,-102.021,-101.256,-101.153,-100.943,-101.964,-99.968,-101.858,-101.477,-102.009,-100.675,-100.492,-100.847,-102.797,-98.547,-102.189,-103.369,-102.915,-99.210,-102.500,-102.793,-102.420,-102.658,-103.847,-102.223,-102.858,-102.333,-100.430,-103.227,-100.574,-98.576,-103.811,-102.982,-101.468,-100.706,-100.753,-102.605,-102.553,-103.136,-99.113,-100.803,-101.755,-103.765,-99.456,-99.417,-99.494,-101.959,-101.277,-103.560,-98.429,-105.632,-101.430,-101.980,-102.195,-101.791,-99.409,-101.660,-102.423,-102.229,-103.121,-100.992,-98.429,-102.685,-102.751,-103.643,-100.439,-102.419,-101.465,-103.489,-101.205,-105.014,-101.639,-101.415,-102.304
274.100,91.097,-101.999,-99.915,-101.257,-102.988,-99.514,-102.352,-102.219,-101.660,-98.566,-99.622,-101.444,-102.603,-104.187,-102.294,-102.215,-97.694,-102.966,-100.788,-102.957,-99.921,-101.005,-102.112,-101.790,-97.169,-101.887,-101.003,-99.680,-103.379,-102.621,-100.454,-102.452,-101.358,-102.327,-103.391,-99.205,-103.374,-103.694,-101.315,-102.100,-101.152,-101.969,-101.197,-100.929,-102.499,-102.920,-102.169,-99.374,-100.497,-100.872,-99.652,-98.510,-102.116,-102.353,-102.007,-98.498,-103.312,-104.022,-103.434,-102.854,-102.014,-104.290,-100.972,-102.437,-101.285,-102.825,-97.907,-102.309,-101.972,-103.617,-103.480,-100.320,-101.415,-103.363,-102.853,-99.698,-101.300,-100.623,-103.138,-100.907,-104.552,-102.669,-101.011,-102.090,-100.279,-101.399,-99.870,-101.701,-102.197,-103.005,-102.706,-102.490,-103.515,-103.338,-102.286,-100.813,-104.148,-100.925,-104.593,-100.071,-101.505,-101.173
295.624,91.097,-100.665,-101.763,-99.701,-102.365,-99.560,-104.073,-100.551,-101.144,-101.813,-102.394,-98.832,-102.285,-102.160,-102.416,-101.760,-103.717,-101.229,-100.186,-99.359,-101.710,-104.935,-99.874,-101.850,-100.456,-100.183,-103.006,-101.935,-102.765,-101.474,-103.701,-101.361,-98.544,-102.565,-101.556,-102.538,-100.600,-101.779,-104.423,-102.676,-100.267,-102.584,-103.727,-103.007,-101.807,-104.064,-100.423,-98.888,-102.176,-102.092,-102.232,-101.295,-101.563,-100.671,-102.447,-100.902,-101.236,-101.262,-101.307,-101.355,-103.194,-103.499,-102.668,-103.137,-103.217,-101.394,-102.296,-102.708,-101.329,-101.511,-100.890,-101.157,-100.550,-101.833,-101.842,-101.025,-102.771,-101.275,-100.687,-100.954,-103.354,-99.551,-102.106,-102.565,-100.324,-101.668,-101.476,-100.781,-101.741,-102.323,-98.225,-99.640,-100.998,-99.761,-103.511,-100.090,-101.690,-103.232,-101.471,-99.891,-103.896,-103.176
317.147,91.097,-102.625,-102.641,-100.453,-101.796,-102.116,-102.088,-100.596,-100.329,-101.420,-102.360,-101.684,-103.009,-101.538,-103.547,-100.268,-100.182,-100.789,-103.932,-104.051,-101.025,-100.572,-100.838,-103.203,-104.597,-101.079,-101.192,-98.910,-99.008,-99.696,-100.484,-101.676,-101.780,-102.356,-102.401,-102.634,-101.386,-98.900,-99.561,-102.577,-103.598,-101.173,-101.980,-97.378,-102.282,-100.841,-103.766,-101.101,-102.009,-100.313,-100.129,-100.999,-99.789,-103.528,-101.187,-100.841,-103.607,-103.606,-101.340,-98.075,-98.168,-103.120,-100.976,-102.018,-102.837,-100.351,-101.311,-102.378,-100.907,-103.491,-103.348,-102.355,-105.302,-103.108,-99.974,-103.183,-102.293,-100.173,-98.935,-103.631,-101.212,-99.509,-103.801,-101.196,-101.549,-99.670,-102.834,-99.314,-102.150,-101.726,-100.510,-102.666,-103.243,-100.677,-102.277,-101.327,-102.601,-100.014,-102.872,-104.301,-100.476,-100.094
