PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-98.489
144.960,91.097,-97.150
166.484,91.097,-98.073
188.007,91.097,-97.480
209.530,91.097,-98.347
231.054,91.097,-98.774
252.577,91.097,-97.728
274.100,91.097,-97.169
295.624,91.097,-98.225
317.147,91.097,-97.378
123.437,96.477,-98.487
144.960,96.477,-98.160
166.484,96.477,-96.902
188.007,96.477,-98.578
209.530,96.477,-98.190
231.054,96.477,-98.949
252.577,96.477,-98.338
274.100,96.477,-97.246
295.624,96.477,-98.574
317.147,96.477,-98.844
123.437,101.857,-98.617
144.960,101.857,-97.582
166.484,101.857,-97.664
188.007,101.857,-98.209
209.530,101.857,-98.983
231.054,101.857,-98.128
252.577,101.857,-98.410
274.100,101.857,-97.007
295.624,101.857,-98.522
317.147,101.857,-98.217
123.437,107.237,-97.823
144.960,107.237,-98.237
166.484,107.237,-97.965
188.007,107.237,-97.592
209.530,107.237,-97.597
231.054,107.237,-98.118
252.577,107.237,-98.362
274.100,107.237,-95.686
295.624,107.237,-97.554
317.147,107.237,-98.415
123.437,112.617,-97.586
144.960,112.617,-98.041
166.484,112.617,-97.093
188.007,112.617,-97.342
209.530,112.617,-97.714
231.054,112.617,-98.028
252.577,112.617,-98.410
274.100,112.617,-98.294
295.624,112.617,-98.795
317.147,112.617,-97.824
123.437,117.997,-97.587
144.960,117.997,-98.931
166.484,117.997,-97.864
188.007,117.997,-98.650
209.530,117.997,-97.637
231.054,117.997,-97.615
252.577,117.997,-97.878
274.100,117.997,-98.234
295.624,117.997,-98.007
317.147,117.997,-98.316
123.437,123.377,-97.135
144.960,123.377,-97.485
166.484,123.377,-97.492
188.007,123.377,-98.200
209.530,123.377,-98.003
231.054,123.377,-97.711
252.577,123.377,-98.730
274.100,123.377,-97.266
295.624,123.377,-97.841
317.147,123.377,-97.915
123.437,128.757,-96.164
144.960,128.757,-97.880
166.484,128.757,-97.700
188.007,128.757,-98.868
209.530,128.757,-97.295
231.054,128.757,-97.488
252.577,128.757,-97.883
274.100,128.757,-98.421
295.624,128.757,-98.495
317.147,128.757,-97.875
123.437,134.137,-98.116
144.960,134.137,-98.120
166.484,134.137,-96.985
188.007,134.137,-98.434
209.530,134.137,-97.409
231.054,134.137,-97.903
252.577,134.137,-97.211
274.100,134.137,-96.999
295.624,134.137,-98.110
317.147,134.137,-97.615
123.437,139.517,-97.385
144.960,139.517,-96.829
166.484,139.517,-97.531
188.007,139.517,-97.781
209.530,139.517,-98.454
231.054,139.517,-97.213
252.577,139.517,-98.664
274.100,139.517,-98.119
295.624,139.517,-98.169
317.147,139.517,-98.944
