PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,91.097,-98.695
144.960,91.097,-98.645
166.484,91.097,-97.834
188.007,91.097,-97.747
209.530,91.097,-96.281
231.054,91.097,-98.561
252.577,91.097,-96.725
274.100,91.097,-98.083
295.624,91.097,-98.338
317.147,91.097,-98.800
123.437,96.477,-97.169
144.960,96.477,-98.775
166.484,96.477,-97.895
188.007,96.477,-98.678
209.530,96.477,-98.082
231.054,96.477,-97.540
252.577,96.477,-97.402
274.100,96.477,-97.753
295.624,96.477,-97.725
317.147,96.477,-98.491
123.437,101.857,-96.420
144.960,101.857,-98.903
166.484,101.857,-97.665
188.007,101.857,-98.749
209.530,101.857,-98.813
231.054,101.857,-97.600
252.577,101.857,-97.818
274.100,101.857,-97.342
295.624,101.857,-97.195
317.147,101.857,-98.387
123.437,107.237,-96.802
144.960,107.237,-98.904
166.484,107.237,-97.618
188.007,107.237,-98.503
209.530,107.237,-98.740
231.054,107.237,-98.020
252.577,107.237,-97.691
274.100,107.237,-97.259
295.624,107.237,-96.900
317.147,107.237,-98.199
123.437,112.617,-97.498
144.960,112.617,-98.228
166.484,112.617,-97.643
188.007,112.617,-98.247
209.530,112.617,-98.408
231.054,112.617,-98.129
252.577,112.617,-97.571
274.100,112.617,-97.562
295.624,112.617,-96.913
317.147,112.617,-98.118
123.437,117.997,-97.827
144.960,117.997,-97.577
166.484,117.997,-97.725
188.007,117.997,-98.052
209.530,117.997,-98.044
231.054,117.997,-97.959
252.577,117.997,-97.947
274.100,117.997,-98.222
295.624,117.997,-97.437
317.147,117.997,-98.113
123.437,123.377,-98.030
144.960,123.377,-97.646
166.484,123.377,-97.812
188.007,123.377,-97.894
209.530,123.377,-97.737
231.054,123.377,-97.675
252.577,123.377,-98.418
274.100,123.377,-98.527
295.624,123.377,-98.084
317.147,123.377,-98.099
123.437,128.757,-98.220
144.960,128.757,-97.934
166.484,128.757,-97.810
188.007,128.757,-97.800
209.530,128.757,-97.606
231.054,128.757,-97.501
252.577,128.757,-98.629
274.100,128.757,-97.728
295.624,128.757,-98.581
317.147,128.757,-98.017
123.437,134.137,-98.077
144.960,134.137,-98.132
166.484,134.137,-97.669
188.007,134.137,-97.815
209.530,134.137,-97.856
231.054,134.137,-97.591
252.577,134.137,-98.285
274.100,134.137,-97.147
295.624,134.137,-98.705
317.147,134.137,-98.035
123.437,139.517,-97.244
144.960,139.517,-97.997
166.484,139.517,-97.595
188.007,139.517,-98.182
209.530,139.517,-98.955
231.054,139.517,-98.293
252.577,139.517,-98.416
274.100,139.517,-98.385
295.624,139.517,-98.244
317.147,139.517,-98.002
